line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
1,676177.558116,83,128.178.122.39,53774,766,,congestion_avoidance,
2,676177.559170,84,128.178.122.39,53774,778,,congestion_avoidance,
3,676177.560369,85,128.178.122.39,53774,912,,congestion_avoidance,
4,676177.561122,86,128.178.122.39,53774,622,,congestion_avoidance,
5,676177.562183,87,128.178.122.39,53774,598,,congestion_avoidance,
6,676177.563208,88,128.178.122.39,53774,750,,congestion_avoidance,
7,676177.564421,89,128.178.122.39,53774,762,,congestion_avoidance,
8,676177.565462,90,128.178.122.39,53774,725,,congestion_avoidance,
9,676177.566525,91,128.178.122.39,53774,741,,congestion_avoidance,
10,676177.567787,92,128.178.122.39,53774,933,,congestion_avoidance,
11,676177.568862,93,128.178.122.39,53774,973,,congestion_avoidance,
12,676177.570020,94,128.178.122.39,53774,,47,congestion_avoidance,cwr
13,676177.570041,50,128.178.122.39,53774,694,,loss_recovery,
14,676177.570303,47,128.178.122.39,53774,816,,loss_recovery,
15,676177.570682,47,128.178.122.39,53774,,47,loss_recovery,open
16,676177.571564,48,128.178.122.39,53774,564,,congestion_avoidance,
17,676177.571878,49,128.178.122.39,53774,529,,congestion_avoidance,
18,676177.572697,50,128.178.122.39,53774,533,,congestion_avoidance,
19,676177.573251,51,128.178.122.39,53774,598,,congestion_avoidance,
20,676177.573786,52,128.178.122.39,53774,589,,congestion_avoidance,
21,676177.574357,53,128.178.122.39,53774,433,,congestion_avoidance,
22,676177.575273,54,128.178.122.39,53774,594,,congestion_avoidance,
23,676177.575832,55,128.178.122.39,53774,614,,congestion_avoidance,
24,676177.576420,56,128.178.122.39,53774,604,,congestion_avoidance,
25,676177.577199,57,128.178.122.39,53774,658,,congestion_avoidance,
26,676177.577750,58,128.178.122.39,53774,684,,congestion_avoidance,
27,676177.578685,59,128.178.122.39,53774,587,,congestion_avoidance,
28,676177.579233,60,128.178.122.39,53774,542,,congestion_avoidance,
29,676177.580068,61,128.178.122.39,53774,678,,congestion_avoidance,
30,676177.580838,62,128.178.122.39,53774,645,,congestion_avoidance,
31,676177.581358,63,128.178.122.39,53774,646,,congestion_avoidance,
32,676177.582225,64,128.178.122.39,53774,749,,congestion_avoidance,
33,676177.583164,65,128.178.122.39,53774,615,,congestion_avoidance,
34,676177.583953,66,128.178.122.39,53774,612,,congestion_avoidance,
35,676177.584754,67,128.178.122.39,53774,629,,congestion_avoidance,
36,676177.585596,68,128.178.122.39,53774,692,,congestion_avoidance,
37,676177.586215,69,128.178.122.39,53774,786,,congestion_avoidance,
38,676177.587330,70,128.178.122.39,53774,834,,congestion_avoidance,
39,676177.588137,71,128.178.122.39,53774,619,,congestion_avoidance,
40,676177.588984,72,128.178.122.39,53774,602,,congestion_avoidance,
41,676177.589784,73,128.178.122.39,53774,683,,congestion_avoidance,
42,676177.590761,74,128.178.122.39,53774,594,,congestion_avoidance,
43,676177.591517,75,128.178.122.39,53774,848,,congestion_avoidance,
44,676177.592509,76,128.178.122.39,53774,761,,congestion_avoidance,
45,676177.593380,77,128.178.122.39,53774,811,,congestion_avoidance,
46,676177.594563,78,128.178.122.39,53774,703,,congestion_avoidance,
47,676177.595386,79,128.178.122.39,53774,705,,congestion_avoidance,
48,676177.596428,80,128.178.122.39,53774,890,,congestion_avoidance,
49,676177.597548,81,128.178.122.39,53774,702,,congestion_avoidance,
50,676177.598457,82,128.178.122.39,53774,814,,congestion_avoidance,
51,676177.599543,83,128.178.122.39,53774,871,,congestion_avoidance,
52,676177.600383,84,128.178.122.39,53774,629,,congestion_avoidance,
53,676177.601431,85,128.178.122.39,53774,599,,congestion_avoidance,
54,676177.602502,86,128.178.122.39,53774,665,,congestion_avoidance,
55,676177.603596,87,128.178.122.39,53774,666,,congestion_avoidance,
56,676177.604652,88,128.178.122.39,53774,679,,congestion_avoidance,
57,676177.605790,89,128.178.122.39,53774,770,,congestion_avoidance,
58,676177.606950,90,128.178.122.39,53774,841,,congestion_avoidance,
59,676177.608029,91,128.178.122.39,53774,879,,congestion_avoidance,
60,676177.609286,92,128.178.122.39,53774,697,,congestion_avoidance,
61,676177.610648,93,128.178.122.39,53774,843,,congestion_avoidance,
62,676177.611778,94,128.178.122.39,53774,895,,congestion_avoidance,
63,676177.613095,95,128.178.122.39,53774,,47,congestion_avoidance,cwr
64,676177.613130,47,128.178.122.39,53774,659,,loss_recovery,
65,676177.613601,47,128.178.122.39,53774,,47,loss_recovery,open
66,676177.614184,48,128.178.122.39,53774,447,,congestion_avoidance,
67,676177.614781,49,128.178.122.39,53774,521,,congestion_avoidance,
68,676177.615641,50,128.178.122.39,53774,491,,congestion_avoidance,
69,676177.616207,51,128.178.122.39,53774,560,,congestion_avoidance,
70,676177.616737,52,128.178.122.39,53774,566,,congestion_avoidance,
71,676177.617291,53,128.178.122.39,53774,397,,congestion_avoidance,
72,676177.618007,54,128.178.122.39,53774,553,,congestion_avoidance,
73,676177.618607,55,128.178.122.39,53774,450,,congestion_avoidance,
74,676177.619497,56,128.178.122.39,53774,505,,congestion_avoidance,
75,676177.620052,57,128.178.122.39,53774,549,,congestion_avoidance,
76,676177.620841,58,128.178.122.39,53774,602,,congestion_avoidance,
77,676177.621772,59,128.178.122.39,53774,720,,congestion_avoidance,
