[133106.179872] TCP: my_cca: seq=1 cwnd=10 rtt=486 phase=slow_start Destination: 192.168.88.253:37848
[133106.185947] TCP: my_cca: seq=40 cwnd=33 rtt=1296 phase=loss_recovery Destination: 192.168.88.253:37848
[133106.187010] TCP: my_cca: seq=45 cwnd=16 rtt=208 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.195227] TCP: my_cca: seq=100 cwnd=23 rtt=912 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.211607] TCP: my_cca: seq=200 cwnd=33 rtt=1302 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.234621] TCP: my_cca: seq=300 cwnd=33 rtt=1401 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.261035] TCP: my_cca: seq=400 cwnd=33 rtt=1004 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.302852] TCP: my_cca: seq=500 cwnd=33 rtt=1144 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.348606] TCP: my_cca: seq=600 cwnd=33 rtt=1052 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.393929] TCP: my_cca: seq=700 cwnd=33 rtt=1567 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.440399] TCP: my_cca: seq=800 cwnd=33 rtt=1520 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.484493] TCP: my_cca: seq=900 cwnd=33 rtt=1326 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.512218] TCP: my_cca: seq=1000 cwnd=33 rtt=1611 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.535122] TCP: my_cca: seq=1100 cwnd=33 rtt=1424 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.563161] TCP: my_cca: seq=1200 cwnd=33 rtt=995 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.592859] TCP: my_cca: seq=1300 cwnd=33 rtt=1271 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.617358] TCP: my_cca: seq=1400 cwnd=33 rtt=1065 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.641621] TCP: my_cca: seq=1500 cwnd=33 rtt=1433 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.663864] TCP: my_cca: seq=1600 cwnd=33 rtt=1500 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.681599] TCP: my_cca: seq=1700 cwnd=33 rtt=1286 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.690650] TCP: my_cca: seq=1757 cwnd=33 rtt=1445 phase=loss_recovery Destination: 192.168.88.253:37848
[133106.691623] TCP: my_cca: seq=1765 cwnd=16 rtt=413 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.695755] TCP: my_cca: seq=1800 cwnd=19 rtt=853 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.710982] TCP: my_cca: seq=1900 cwnd=32 rtt=1248 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.724081] TCP: my_cca: seq=2000 cwnd=33 rtt=1502 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.737838] TCP: my_cca: seq=2100 cwnd=33 rtt=1307 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.750632] TCP: my_cca: seq=2200 cwnd=33 rtt=1529 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.763015] TCP: my_cca: seq=2300 cwnd=33 rtt=1432 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.774631] TCP: my_cca: seq=2400 cwnd=33 rtt=1382 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.801165] TCP: my_cca: seq=2500 cwnd=33 rtt=1255 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.831834] TCP: my_cca: seq=2600 cwnd=33 rtt=1256 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.850076] TCP: my_cca: seq=2700 cwnd=33 rtt=1537 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.875695] TCP: my_cca: seq=2800 cwnd=33 rtt=1129 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.909954] TCP: my_cca: seq=2900 cwnd=33 rtt=1201 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.928929] TCP: my_cca: seq=3000 cwnd=33 rtt=1007 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.962024] TCP: my_cca: seq=3100 cwnd=33 rtt=1417 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.975578] TCP: my_cca: seq=3200 cwnd=33 rtt=1232 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133106.988082] TCP: my_cca: seq=3300 cwnd=33 rtt=1343 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.001708] TCP: my_cca: seq=3400 cwnd=33 rtt=1360 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.015225] TCP: my_cca: seq=3500 cwnd=33 rtt=1550 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.029483] TCP: my_cca: seq=3600 cwnd=33 rtt=1282 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.042818] TCP: my_cca: seq=3700 cwnd=33 rtt=1410 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.055803] TCP: my_cca: seq=3800 cwnd=33 rtt=1518 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.067229] TCP: my_cca: seq=3900 cwnd=33 rtt=1047 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.080456] TCP: my_cca: seq=4000 cwnd=33 rtt=1503 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.091874] TCP: my_cca: seq=4100 cwnd=33 rtt=1144 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.104411] TCP: my_cca: seq=4200 cwnd=33 rtt=1302 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.116910] TCP: my_cca: seq=4300 cwnd=33 rtt=1239 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.129215] TCP: my_cca: seq=4400 cwnd=33 rtt=1587 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.141204] TCP: my_cca: seq=4500 cwnd=33 rtt=1387 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.153293] TCP: my_cca: seq=4600 cwnd=33 rtt=1540 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.167852] TCP: my_cca: seq=4700 cwnd=33 rtt=1592 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.181085] TCP: my_cca: seq=4800 cwnd=33 rtt=1604 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.198437] TCP: my_cca: seq=4900 cwnd=33 rtt=1432 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.210646] TCP: my_cca: seq=5000 cwnd=33 rtt=1200 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.223434] TCP: my_cca: seq=5100 cwnd=33 rtt=1257 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.235969] TCP: my_cca: seq=5200 cwnd=33 rtt=1360 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.249131] TCP: my_cca: seq=5300 cwnd=33 rtt=1540 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.262216] TCP: my_cca: seq=5400 cwnd=33 rtt=1536 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.274555] TCP: my_cca: seq=5500 cwnd=33 rtt=1267 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.289591] TCP: my_cca: seq=5600 cwnd=33 rtt=1724 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.311517] TCP: my_cca: seq=5700 cwnd=33 rtt=1273 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.333655] TCP: my_cca: seq=5800 cwnd=33 rtt=1215 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.355813] TCP: my_cca: seq=5900 cwnd=33 rtt=1437 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.378687] TCP: my_cca: seq=6000 cwnd=33 rtt=1408 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.417147] TCP: my_cca: seq=6100 cwnd=33 rtt=1331 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.439445] TCP: my_cca: seq=6200 cwnd=33 rtt=1290 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.458106] TCP: my_cca: seq=6300 cwnd=33 rtt=1281 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.483330] TCP: my_cca: seq=6400 cwnd=33 rtt=180 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.508025] TCP: my_cca: seq=6500 cwnd=33 rtt=1059 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.525595] TCP: my_cca: seq=6600 cwnd=33 rtt=1106 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.546750] TCP: my_cca: seq=6700 cwnd=33 rtt=1227 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.560030] TCP: my_cca: seq=6800 cwnd=33 rtt=1622 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.581204] TCP: my_cca: seq=6900 cwnd=33 rtt=1504 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.596835] TCP: my_cca: seq=7000 cwnd=33 rtt=1125 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.613213] TCP: my_cca: seq=7100 cwnd=33 rtt=1286 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.624944] TCP: my_cca: seq=7200 cwnd=33 rtt=1444 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.647808] TCP: my_cca: seq=7300 cwnd=33 rtt=1362 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.665499] TCP: my_cca: seq=7400 cwnd=33 rtt=1318 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.678198] TCP: my_cca: seq=7500 cwnd=33 rtt=1391 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.697906] TCP: my_cca: seq=7600 cwnd=33 rtt=1232 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.711345] TCP: my_cca: seq=7700 cwnd=33 rtt=1251 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.724383] TCP: my_cca: seq=7800 cwnd=33 rtt=1368 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.739953] TCP: my_cca: seq=7900 cwnd=33 rtt=1473 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.760002] TCP: my_cca: seq=8000 cwnd=33 rtt=1506 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.793148] TCP: my_cca: seq=8100 cwnd=33 rtt=1615 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.837358] TCP: my_cca: seq=8200 cwnd=33 rtt=1287 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.876837] TCP: my_cca: seq=8300 cwnd=33 rtt=1325 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.912122] TCP: my_cca: seq=8400 cwnd=33 rtt=1498 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.942151] TCP: my_cca: seq=8500 cwnd=33 rtt=846 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133107.977808] TCP: my_cca: seq=8600 cwnd=33 rtt=1789 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.008540] TCP: my_cca: seq=8700 cwnd=33 rtt=1492 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.042140] TCP: my_cca: seq=8800 cwnd=33 rtt=1514 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.071684] TCP: my_cca: seq=8900 cwnd=33 rtt=1234 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.102954] TCP: my_cca: seq=9000 cwnd=33 rtt=1317 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.133182] TCP: my_cca: seq=9100 cwnd=33 rtt=1253 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.165084] TCP: my_cca: seq=9200 cwnd=33 rtt=1177 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.198746] TCP: my_cca: seq=9300 cwnd=33 rtt=1521 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.232373] TCP: my_cca: seq=9400 cwnd=33 rtt=844 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.269078] TCP: my_cca: seq=9500 cwnd=33 rtt=1368 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.304208] TCP: my_cca: seq=9600 cwnd=33 rtt=1415 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.330790] TCP: my_cca: seq=9700 cwnd=33 rtt=1340 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.367928] TCP: my_cca: seq=9800 cwnd=33 rtt=1333 phase=congestion_avoidance Destination: 192.168.88.253:37848
[133108.404790] TCP: my_cca: seq=9900 cwnd=33 rtt=1498 phase=congestion_avoidance Destination: 192.168.88.253:37848
