[378917.006670] audit: type=1400 audit(1781042404.528:156): apparmor="DENIED" operation="capable" profile="/usr/sbin/cupsd" pid=2401019 comm="cupsd" capability=12  capname="net_admin"
[378917.055091] audit: type=1400 audit(1781042404.576:157): apparmor="DENIED" operation="capable" profile="/usr/sbin/cups-browsed" pid=2401041 comm="cups-browsed" capability=23  capname="sys_nice"
[400886.138247] audit: type=1326 audit(1781064373.769:158): auid=1000 uid=1000 gid=1000 ses=3 subj=snap.snap-store.ubuntu-software pid=211902 comm="pool-org.gnome." exe="/snap/snap-store/1216/usr/bin/snap-store" sig=0 arch=c000003e syscall=93 compat=0 ip=0x7f4bf0bc1b1b code=0x50000
[402336.181986] systemd[1]: systemd 249.11-0ubuntu3.21 running in system mode (+PAM +AUDIT +SELINUX +APPARMOR +IMA +SMACK +SECCOMP +GCRYPT +GNUTLS +OPENSSL +ACL +BLKID +CURL +ELFUTILS +FIDO2 +IDN2 -IDN +IPTC +KMOD +LIBCRYPTSETUP +LIBFDISK +PCRE2 -PWQUALITY -P11KIT -QRENCODE +BZIP2 +LZ4 +XZ +ZLIB +ZSTD -XKBCOMMON +UTMP +SYSVINIT default-hierarchy=unified)
[402336.200859] systemd[1]: Detected architecture x86-64.
[402336.201047] Lockdown: systemd: /dev/mem,kmem,port is restricted; see man kernel_lockdown.7
[402336.315698] systemd[1]: Configuration file /run/systemd/system/netplan-ovs-cleanup.service is marked world-inaccessible. This has no effect as configuration data is accessible via APIs without restrictions. Proceeding anyway.
[402336.363974] systemd[1]: /lib/systemd/system/snapd.service:23: Unknown key name 'RestartMode' in section 'Service', ignoring.
[402337.070075] systemd-journald[280]: Received SIGTERM from PID 1 (systemd).
[402337.070450] systemd[1]: Stopping Journal Service...
[402337.108349] systemd[1]: systemd-journald.service: Deactivated successfully.
[402337.108837] systemd[1]: Stopped Journal Service.
[402337.108895] systemd[1]: systemd-journald.service: Consumed 6h 51min 28.868s CPU time.
[402337.112700] systemd[1]: Starting Journal Service...
[402337.160449] systemd[1]: Started Journal Service.
[434357.837177] TCP: my_cca: seq=1 cwnd=10 rtt=521 bytes_acked=7240 bytes_sent=14480 phase=slow_start Destination: 192.168.88.253:44632
[434357.839211] TCP: my_cca: seq=91 cwnd=106 rtt=397 bytes_acked=238920 bytes_sent=318560 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.839299] TCP: my_cca: seq=100 cwnd=23 rtt=486 bytes_acked=251952 bytes_sent=330144 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.839478] TCP: my_cca: seq=114 cwnd=53 rtt=208 bytes_acked=272224 bytes_sent=351864 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.840469] TCP: my_cca: seq=184 cwnd=53 rtt=365 bytes_acked=386616 bytes_sent=541552 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.840843] TCP: my_cca: seq=200 cwnd=24 rtt=507 bytes_acked=412680 bytes_sent=564720 phase=loss_recovery Destination: 192.168.88.253:44632
[434357.840924] TCP: my_cca: seq=205 cwnd=26 rtt=250 bytes_acked=419920 bytes_sent=579200 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.842087] TCP: my_cca: seq=300 cwnd=29 rtt=251 bytes_acked=558928 bytes_sent=722552 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.843385] TCP: my_cca: seq=400 cwnd=33 rtt=349 bytes_acked=712416 bytes_sent=868800 phase=congestion_avoidance Destination: 192.168.88.253:44632
[434357.844680] TCP: my_cca: seq=500 cwnd=36 rtt=316 bytes_acked=863008 bytes_sent=1028080 phase=congestion_avoidance Destination: 192.168.88.253:44632
