line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
1,79725.500949,10,192.168.88.253,45272,283,,slow_start,
2,79725.503439,65,192.168.88.253,45272,892,,slow_start,
3,79725.516536,32,192.168.88.253,45272,632,,loss_recovery,
4,79725.518120,33,192.168.88.253,45272,370,,congestion_avoidance,
5,79725.519758,37,192.168.88.253,45272,362,,congestion_avoidance,
6,79725.522214,39,192.168.88.253,45272,1548,,congestion_avoidance,
7,79725.522430,40,192.168.88.253,45272,1582,,congestion_avoidance,
8,79725.523903,42,192.168.88.253,45272,525,,congestion_avoidance,
9,79725.524293,43,192.168.88.253,45272,499,,congestion_avoidance,
10,79725.524831,44,192.168.88.253,45272,324,,congestion_avoidance,
11,79725.527889,47,192.168.88.253,45272,300,,congestion_avoidance,
12,79725.528621,48,192.168.88.253,45272,605,,congestion_avoidance,
13,79725.528934,49,192.168.88.253,45272,678,,congestion_avoidance,
14,79725.530533,51,192.168.88.253,45272,645,,congestion_avoidance,
15,79725.531971,53,192.168.88.253,45272,360,,congestion_avoidance,
16,79725.532599,54,192.168.88.253,45272,606,,congestion_avoidance,
17,79725.534885,57,192.168.88.253,45272,585,,congestion_avoidance,
18,79725.535734,58,192.168.88.253,45272,600,,congestion_avoidance,
19,79725.538253,59,192.168.88.253,45272,671,,congestion_avoidance,
20,79725.539840,61,192.168.88.253,45272,607,,congestion_avoidance,
21,79725.540559,63,192.168.88.253,45272,606,,congestion_avoidance,
22,79725.543006,65,192.168.88.253,45272,627,,congestion_avoidance,
