line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
1,476166.658194,3200,31,11556056,11702304,192.168.88.253,54110,639,,congestion_avoidance,
2,476166.663499,3277,23,11823936,11968736,192.168.88.253,54110,731,,fast_retransmit,
3,476166.664295,3285,18,11865928,11997696,192.168.88.253,54110,561,,congestion_avoidance,
4,476166.665246,3300,19,11916608,12051272,192.168.88.253,54110,508,,congestion_avoidance,
5,476166.671714,3400,29,12264128,12413272,192.168.88.253,54110,699,,congestion_avoidance,
6,476166.678501,3500,37,12629024,12783960,192.168.88.253,54110,889,,congestion_avoidance,
7,476166.679813,3518,27,12698528,12850568,192.168.88.253,54110,721,,fast_retransmit,
8,476166.680753,3528,19,12746312,12885320,192.168.88.253,54110,473,,congestion_avoidance,
9,476166.685855,3600,27,13035912,13183608,192.168.88.253,54110,475,,congestion_avoidance,
10,476166.692707,3700,35,13408048,13557192,192.168.88.253,54110,727,,congestion_avoidance,
11,476166.694160,3720,27,13479000,13639728,192.168.88.253,54110,659,,fast_retransmit,
12,476166.694958,3726,18,13526784,13665792,192.168.88.253,54110,669,,congestion_avoidance,
13,476166.702128,3800,27,13861272,14008968,192.168.88.253,54110,454,,congestion_avoidance,
14,476166.709970,3900,34,14253680,14402824,192.168.88.253,54110,581,,congestion_avoidance,
15,476166.712879,3941,25,14398480,14557760,192.168.88.253,54110,729,,fast_retransmit,
16,476166.713520,3947,18,14444816,14582376,192.168.88.253,54110,449,,congestion_avoidance,
17,476166.718333,4000,25,14682288,14822744,192.168.88.253,54110,356,,congestion_avoidance,
18,476166.725361,4100,34,15048632,15199224,192.168.88.253,54110,629,,congestion_avoidance,
19,476166.732461,4166,25,15396152,15556880,192.168.88.253,54110,775,,fast_retransmit,
20,476166.733242,4174,20,15442488,15587288,192.168.88.253,54110,574,,congestion_avoidance,
21,476166.735297,4200,23,15556880,15701680,192.168.88.253,54110,371,,congestion_avoidance,
22,476166.745543,4300,34,16052096,16202688,192.168.88.253,54110,783,,congestion_avoidance,
23,476166.749735,4351,27,16267848,16435816,192.168.88.253,54110,730,,fast_retransmit,
24,476166.751142,4360,19,16318528,16464776,192.168.88.253,54110,392,,congestion_avoidance,
25,476166.754607,4400,24,16487944,16647224,192.168.88.253,54110,417,,congestion_avoidance,
26,476166.761212,4500,32,16838360,16993296,192.168.88.253,54110,740,,congestion_avoidance,
27,476166.768771,4600,39,17220632,17390048,192.168.88.253,54110,973,,congestion_avoidance,
28,476166.770580,4627,38,17310408,17495752,192.168.88.253,54110,813,,fast_retransmit,
29,476166.771558,4637,20,17372672,17527608,192.168.88.253,54110,659,,congestion_avoidance,
30,476166.776333,4700,27,17628968,17789696,192.168.88.253,54110,605,,congestion_avoidance,
31,476166.783889,4800,36,18031512,18206720,192.168.88.253,54110,991,,congestion_avoidance,
