[128345.943466] TCP: my_cca: seq=1 cwnd=10 rtt=594 phase=loss_recovery Destination: 192.168.88.253:60834
[128345.943672] TCP: my_cca: seq=2 cwnd=5 rtt=181 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128345.950003] TCP: my_cca: seq=100 cwnd=5 rtt=135 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128345.956557] TCP: my_cca: seq=200 cwnd=5 rtt=126 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128345.963691] TCP: my_cca: seq=300 cwnd=5 rtt=127 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128345.970639] TCP: my_cca: seq=400 cwnd=5 rtt=119 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128345.977567] TCP: my_cca: seq=500 cwnd=5 rtt=146 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128345.984472] TCP: my_cca: seq=600 cwnd=5 rtt=120 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128345.991038] TCP: my_cca: seq=700 cwnd=5 rtt=122 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128345.997659] TCP: my_cca: seq=800 cwnd=5 rtt=153 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.004697] TCP: my_cca: seq=900 cwnd=5 rtt=138 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.011740] TCP: my_cca: seq=1000 cwnd=5 rtt=134 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.018536] TCP: my_cca: seq=1100 cwnd=5 rtt=145 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.025173] TCP: my_cca: seq=1200 cwnd=5 rtt=132 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.032151] TCP: my_cca: seq=1300 cwnd=5 rtt=126 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.039034] TCP: my_cca: seq=1400 cwnd=5 rtt=134 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.045375] TCP: my_cca: seq=1500 cwnd=5 rtt=108 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.051314] TCP: my_cca: seq=1600 cwnd=5 rtt=120 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.057269] TCP: my_cca: seq=1700 cwnd=5 rtt=118 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.063170] TCP: my_cca: seq=1800 cwnd=5 rtt=124 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.068866] TCP: my_cca: seq=1900 cwnd=5 rtt=116 phase=congestion_avoidance Destination: 192.168.88.253:60834
[128346.074723] TCP: my_cca: seq=2000 cwnd=5 rtt=134 phase=congestion_avoidance Destination: 192.168.88.253:60834
