[131625.927004] TCP: my_cca: seq=1 cwnd=10 rtt=476 phase=loss_recovery Destination: 192.168.88.253:54646
[131625.927142] TCP: my_cca: seq=2 cwnd=5 rtt=118 phase=congestion_avoidance Destination: 192.168.88.253:54646
[131625.927161] TCP: my_cca: seq=3 cwnd=4 rtt=138 phase=slow_start Destination: 192.168.88.253:54646
[131625.930379] TCP: my_cca: seq=100 cwnd=4 rtt=116 phase=slow_start Destination: 192.168.88.253:54646
[131625.933199] TCP: my_cca: seq=200 cwnd=4 rtt=108 phase=slow_start Destination: 192.168.88.253:54646
[131625.938314] TCP: my_cca: seq=300 cwnd=4 rtt=120 phase=slow_start Destination: 192.168.88.253:54646
[131625.944193] TCP: my_cca: seq=400 cwnd=4 rtt=117 phase=slow_start Destination: 192.168.88.253:54646
[131625.950134] TCP: my_cca: seq=500 cwnd=4 rtt=121 phase=slow_start Destination: 192.168.88.253:54646
[131625.956077] TCP: my_cca: seq=600 cwnd=4 rtt=114 phase=slow_start Destination: 192.168.88.253:54646
[131625.962091] TCP: my_cca: seq=700 cwnd=4 rtt=116 phase=slow_start Destination: 192.168.88.253:54646
[131625.968069] TCP: my_cca: seq=800 cwnd=4 rtt=118 phase=slow_start Destination: 192.168.88.253:54646
[131625.974177] TCP: my_cca: seq=900 cwnd=4 rtt=117 phase=slow_start Destination: 192.168.88.253:54646
[131625.980132] TCP: my_cca: seq=1000 cwnd=4 rtt=114 phase=slow_start Destination: 192.168.88.253:54646
[131625.986801] TCP: my_cca: seq=1100 cwnd=4 rtt=116 phase=slow_start Destination: 192.168.88.253:54646
[131625.993528] TCP: my_cca: seq=1200 cwnd=4 rtt=120 phase=slow_start Destination: 192.168.88.253:54646
[131625.999964] TCP: my_cca: seq=1300 cwnd=4 rtt=118 phase=slow_start Destination: 192.168.88.253:54646
[131626.006022] TCP: my_cca: seq=1400 cwnd=4 rtt=118 phase=slow_start Destination: 192.168.88.253:54646
[131626.012427] TCP: my_cca: seq=1500 cwnd=4 rtt=118 phase=slow_start Destination: 192.168.88.253:54646
[131626.018631] TCP: my_cca: seq=1600 cwnd=4 rtt=114 phase=slow_start Destination: 192.168.88.253:54646
[131626.024612] TCP: my_cca: seq=1700 cwnd=4 rtt=113 phase=slow_start Destination: 192.168.88.253:54646
[131626.030613] TCP: my_cca: seq=1800 cwnd=4 rtt=139 phase=slow_start Destination: 192.168.88.253:54646
