line_number,timestamp,cwnd,ip,port,rtt,ssthresh,phase,ca_state
341,79309.480404,10,192.168.88.253,58816,153,,slow_start,
342,79309.480595,24,192.168.88.253,58816,176,,slow_start,
343,79309.480789,41,192.168.88.253,58816,236,,slow_start,
344,79309.481111,66,192.168.88.253,58816,354,,slow_start,
345,79309.481226,33,192.168.88.253,58816,468,,loss_recovery,
346,79309.482090,34,192.168.88.253,58816,373,,congestion_avoidance,
347,79309.482454,35,192.168.88.253,58816,310,,congestion_avoidance,
348,79309.482959,36,192.168.88.253,58816,300,,congestion_avoidance,
349,79309.483339,37,192.168.88.253,58816,405,,congestion_avoidance,
350,79309.483776,38,192.168.88.253,58816,311,,congestion_avoidance,
351,79309.484331,39,192.168.88.253,58816,333,,congestion_avoidance,
352,79309.484715,40,192.168.88.253,58816,438,,congestion_avoidance,
353,79309.485229,41,192.168.88.253,58816,435,,congestion_avoidance,
354,79309.485796,42,192.168.88.253,58816,469,,congestion_avoidance,
355,79309.486296,43,192.168.88.253,58816,491,,congestion_avoidance,
356,79309.486831,44,192.168.88.253,58816,467,,congestion_avoidance,
357,79309.487359,45,192.168.88.253,58816,512,,congestion_avoidance,
358,79309.488016,46,192.168.88.253,58816,433,,congestion_avoidance,
359,79309.488680,47,192.168.88.253,58816,540,,congestion_avoidance,
360,79309.489350,48,192.168.88.253,58816,579,,congestion_avoidance,
361,79309.489699,49,192.168.88.253,58816,518,,congestion_avoidance,
362,79309.490319,50,192.168.88.253,58816,480,,congestion_avoidance,
363,79309.490988,51,192.168.88.253,58816,435,,congestion_avoidance,
364,79309.491561,52,192.168.88.253,58816,503,,congestion_avoidance,
365,79309.492224,53,192.168.88.253,58816,619,,congestion_avoidance,
366,79309.492879,54,192.168.88.253,58816,531,,congestion_avoidance,
367,79309.493743,27,192.168.88.253,58816,591,,loss_recovery,
368,79309.494474,28,192.168.88.253,58816,260,,congestion_avoidance,
369,79309.495059,29,192.168.88.253,58816,287,,congestion_avoidance,
370,79309.495567,31,192.168.88.253,58816,416,,congestion_avoidance,
371,79309.495882,32,192.168.88.253,58816,224,,congestion_avoidance,
372,79309.496417,33,192.168.88.253,58816,236,,congestion_avoidance,
373,79309.496762,34,192.168.88.253,58816,339,,congestion_avoidance,
374,79309.497394,35,192.168.88.253,58816,383,,congestion_avoidance,
375,79309.497665,36,192.168.88.253,58816,366,,congestion_avoidance,
376,79309.498080,37,192.168.88.253,58816,345,,congestion_avoidance,
377,79309.498387,38,192.168.88.253,58816,430,,congestion_avoidance,
378,79309.499099,39,192.168.88.253,58816,331,,congestion_avoidance,
379,79309.499671,40,192.168.88.253,58816,266,,congestion_avoidance,
380,79309.500005,41,192.168.88.253,58816,494,,congestion_avoidance,
381,79309.500616,42,192.168.88.253,58816,466,,congestion_avoidance,
382,79309.500865,43,192.168.88.253,58816,356,,congestion_avoidance,
383,79309.501803,44,192.168.88.253,58816,271,,congestion_avoidance,
384,79309.502098,45,192.168.88.253,58816,429,,congestion_avoidance,
385,79309.502812,46,192.168.88.253,58816,512,,congestion_avoidance,
386,79309.503097,47,192.168.88.253,58816,468,,congestion_avoidance,
387,79309.503727,48,192.168.88.253,58816,562,,congestion_avoidance,
388,79309.504321,49,192.168.88.253,58816,488,,congestion_avoidance,
389,79309.504924,50,192.168.88.253,58816,402,,congestion_avoidance,
390,79309.505645,51,192.168.88.253,58816,589,,congestion_avoidance,
391,79309.506002,25,192.168.88.253,58816,428,,loss_recovery,
392,79309.506625,26,192.168.88.253,58816,309,,congestion_avoidance,
393,79309.506946,27,192.168.88.253,58816,293,,congestion_avoidance,
394,79309.507253,28,192.168.88.253,58816,267,,congestion_avoidance,
395,79309.507700,29,192.168.88.253,58816,345,,congestion_avoidance,
396,79309.508013,30,192.168.88.253,58816,307,,congestion_avoidance,
397,79309.508336,31,192.168.88.253,58816,380,,congestion_avoidance,
398,79309.508629,32,192.168.88.253,58816,366,,congestion_avoidance,
399,79309.509309,33,192.168.88.253,58816,262,,congestion_avoidance,
400,79309.509599,34,192.168.88.253,58816,363,,congestion_avoidance,
401,79309.509933,35,192.168.88.253,58816,330,,congestion_avoidance,
