[613003.022317] TCP: my_cca: seq=152186 cwnd=20 rtt=411 phase=slow_start Destination: 192.168.88.253:53166
[613003.022332] TCP: my_cca: post_slow_start_summary cwnd=20 ssthresh=22 slow_start_end_cwnd=59 slow_start_end_ssthresh=29 slow_start_end_phase=loss_recovery post_slow_start_elapsed_ns=36484695890 post_slow_start_bytes_acked=1073666534 post_slow_start_bytes_sent=1105677469 post_slow_start_byte_source=bytes_acked post_slow_start_mbit_per_second=235.422 final_bytes_acked=1073741830 final_bytes_sent=1105812549 phase=post_slow_start Destination: 192.168.88.253:53166
[614669.458053] TCP: my_cca: seq=1 cwnd=10 rtt=582 bytes_acked=7240 bytes_sent=14480 phase=slow_start Destination: 192.168.88.253:39212
[614669.458963] TCP: my_cca: seq=23 cwnd=54 rtt=391 bytes_acked=73848 bytes_sent=205616 phase=loss_recovery Destination: 192.168.88.253:39212
[614669.460942] TCP: my_cca: seq=36 cwnd=27 rtt=1043 bytes_acked=130320 bytes_sent=263536 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.470645] TCP: my_cca: seq=84 cwnd=34 rtt=1319 bytes_acked=421368 bytes_sent=558928 phase=loss_recovery Destination: 192.168.88.253:39212
[614669.471428] TCP: my_cca: seq=89 cwnd=17 rtt=712 bytes_acked=451776 bytes_sent=577752 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.473465] TCP: my_cca: seq=100 cwnd=17 rtt=572 bytes_acked=509696 bytes_sent=640016 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.502004] TCP: my_cca: seq=197 cwnd=38 rtt=1375 bytes_acked=1362568 bytes_sent=1529088 phase=loss_recovery Destination: 192.168.88.253:39212
[614669.503370] TCP: my_cca: seq=200 cwnd=19 rtt=354 bytes_acked=1401664 bytes_sent=1555152 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.525071] TCP: my_cca: seq=278 cwnd=34 rtt=1338 bytes_acked=2047472 bytes_sent=2216888 phase=loss_recovery Destination: 192.168.88.253:39212
[614669.525794] TCP: my_cca: seq=282 cwnd=17 rtt=189 bytes_acked=2076432 bytes_sent=2240056 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.530106] TCP: my_cca: seq=300 cwnd=20 rtt=782 bytes_acked=2200960 bytes_sent=2371824 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.551086] TCP: my_cca: seq=371 cwnd=35 rtt=1209 bytes_acked=2817808 bytes_sent=3006048 phase=loss_recovery Destination: 192.168.88.253:39212
[614669.551568] TCP: my_cca: seq=374 cwnd=17 rtt=437 bytes_acked=2840976 bytes_sent=3029216 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.557452] TCP: my_cca: seq=400 cwnd=21 rtt=932 bytes_acked=3020528 bytes_sent=3220352 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.575737] TCP: my_cca: seq=471 cwnd=34 rtt=1361 bytes_acked=3553392 bytes_sent=3767696 phase=loss_recovery Destination: 192.168.88.253:39212
[614669.576198] TCP: my_cca: seq=474 cwnd=17 rtt=416 bytes_acked=3578008 bytes_sent=3790864 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.581626] TCP: my_cca: seq=500 cwnd=21 rtt=1029 bytes_acked=3743080 bytes_sent=3954488 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.605270] TCP: my_cca: seq=590 cwnd=37 rtt=1787 bytes_acked=4439568 bytes_sent=4666904 phase=loss_recovery Destination: 192.168.88.253:39212
[614669.605707] TCP: my_cca: seq=592 cwnd=18 rtt=395 bytes_acked=4452600 bytes_sent=4692968 phase=congestion_avoidance Destination: 192.168.88.253:39212
[614669.607226] TCP: my_cca: seq=600 cwnd=19 rtt=426 bytes_acked=4501832 bytes_sent=4742200 phase=congestion_avoidance Destination: 192.168.88.253:39212
