line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
2,317106.816829,1,10,7240,14480,192.168.88.253,44168,605,,slow_start,
3,317106.820130,100,42,270776,321456,192.168.88.253,44168,502,,slow_start,
4,317106.823723,200,42,599472,645808,192.168.88.253,44168,615,,slow_start,
5,317106.827321,300,42,912240,957128,192.168.88.253,44168,477,,slow_start,
6,317106.837380,400,42,1697056,1749184,192.168.88.253,44168,529,,slow_start,
7,317106.855545,500,42,3195736,3250760,192.168.88.253,44168,335,,slow_start,
8,317106.869960,600,42,4423640,4465632,192.168.88.253,44168,514,,slow_start,
9,317106.889465,700,42,5997616,6000512,192.168.88.253,44168,447,,slow_start,
10,317106.890520,709,27,6059880,6104768,192.168.88.253,44168,449,,fast_retransmit,
11,317106.891191,713,21,6133728,6135176,192.168.88.253,44168,371,,congestion_avoidance,
12,317106.907668,800,42,7370320,7402176,192.168.88.253,44168,298,,congestion_avoidance,
13,317106.924629,900,42,8786464,8825560,192.168.88.253,44168,506,,congestion_avoidance,
14,317106.938214,1000,42,9917352,9949208,192.168.88.253,44168,528,,congestion_avoidance,
15,317106.950200,1100,42,10930952,10981632,192.168.88.253,44168,372,,congestion_avoidance,
16,317106.950848,1104,41,10978736,11041000,192.168.88.253,44168,299,,fast_retransmit,
17,317106.951466,1109,21,11045344,11069960,192.168.88.253,44168,445,,congestion_avoidance,
18,317106.959421,1200,36,11686808,11731696,192.168.88.253,44168,687,,congestion_avoidance,
19,317106.969140,1300,42,12529544,12584568,192.168.88.253,44168,675,,congestion_avoidance,
20,317106.977437,1400,42,13337528,13380968,192.168.88.253,44168,694,,congestion_avoidance,
21,317106.985911,1500,42,14089040,14149856,192.168.88.253,44168,760,,congestion_avoidance,
22,317106.993749,1600,42,14831864,14888336,192.168.88.253,44168,626,,congestion_avoidance,
23,317107.002298,1700,42,15686184,15739760,192.168.88.253,44168,550,,congestion_avoidance,
24,317107.010094,1800,42,16429008,16488376,192.168.88.253,44168,654,,congestion_avoidance,
25,317107.015605,1872,28,16934360,16985040,192.168.88.253,44168,467,,fast_retransmit,
26,317107.016178,1881,21,16983592,17018344,192.168.88.253,44168,337,,congestion_avoidance,
27,317107.017616,1900,23,17096536,17135632,192.168.88.253,44168,360,,congestion_avoidance,
28,317107.024476,2000,37,17698904,17751032,192.168.88.253,44168,557,,congestion_avoidance,
29,317107.029547,2100,42,18211496,18275208,192.168.88.253,44168,555,,congestion_avoidance,
30,317107.034286,2200,42,18705264,18757392,192.168.88.253,44168,416,,congestion_avoidance,
31,317107.038759,2300,42,19136768,19196136,192.168.88.253,44168,640,,congestion_avoidance,
32,317107.043169,2400,42,19594336,19645016,192.168.88.253,44168,590,,congestion_avoidance,
33,317107.047400,2500,42,19983848,20047560,192.168.88.253,44168,704,,congestion_avoidance,
34,317107.053176,2600,42,20564496,20631104,192.168.88.253,44168,561,,congestion_avoidance,
35,317107.058601,2700,42,21127768,21187136,192.168.88.253,44168,575,,congestion_avoidance,
36,317107.063822,2800,42,21653392,21699728,192.168.88.253,44168,408,,congestion_avoidance,
37,317107.069100,2900,42,22206528,22260104,192.168.88.253,44168,388,,congestion_avoidance,
38,317107.074450,3000,42,22768352,22820480,192.168.88.253,44168,569,,congestion_avoidance,
39,317107.079817,3100,42,23309904,23363480,192.168.88.253,44168,625,,congestion_avoidance,
40,317107.084796,3200,42,23822496,23878968,192.168.88.253,44168,455,,congestion_avoidance,
41,317107.089964,3300,42,24340880,24403144,192.168.88.253,44168,511,,congestion_avoidance,
42,317107.095060,3400,42,24847680,24896912,192.168.88.253,44168,388,,congestion_avoidance,
43,317107.100139,3500,42,25366064,25419640,192.168.88.253,44168,363,,congestion_avoidance,
44,317107.105015,3600,42,25848248,25891688,192.168.88.253,44168,642,,congestion_avoidance,
45,317107.111151,3700,42,26373872,26431792,192.168.88.253,44168,1051,,congestion_avoidance,
46,317107.120215,3800,42,26990720,27052984,192.168.88.253,44168,427,,congestion_avoidance,
47,317107.124253,3900,42,27367200,27433808,192.168.88.253,44168,719,,congestion_avoidance,
48,317107.127761,4000,42,27729200,27788568,192.168.88.253,44168,597,,congestion_avoidance,
49,317107.131649,4100,42,28092648,28140432,192.168.88.253,44168,463,,congestion_avoidance,
50,317107.135205,4200,42,28431480,28473472,192.168.88.253,44168,394,,congestion_avoidance,
51,317107.139076,4300,42,28786240,28851400,192.168.88.253,44168,498,,congestion_avoidance,
52,317107.142840,4400,42,29190232,29240912,192.168.88.253,44168,596,,congestion_avoidance,
53,317107.149867,4600,42,29862104,29925816,192.168.88.253,44168,413,,congestion_avoidance,
54,317107.153264,4700,42,30238584,30299400,192.168.88.253,44168,381,,congestion_avoidance,
55,317107.156482,4800,42,30580312,30638232,192.168.88.253,44168,496,,congestion_avoidance,
56,317107.159979,4900,42,30922040,30982856,192.168.88.253,44168,649,,congestion_avoidance,
57,317107.163357,5000,42,31291280,31356440,192.168.88.253,44168,498,,congestion_avoidance,
58,317107.166759,5100,42,31644592,31711200,192.168.88.253,44168,489,,congestion_avoidance,
59,317107.169832,5200,42,31974736,32025416,192.168.88.253,44168,380,,congestion_avoidance,
60,317107.173104,5300,42,32325152,32374384,192.168.88.253,44168,526,,congestion_avoidance,
61,317107.176397,5400,42,32656744,32711768,192.168.88.253,44168,586,,congestion_avoidance,
62,317107.179789,5500,42,33005712,33060736,192.168.88.253,44168,555,,congestion_avoidance,
63,317107.182924,5600,42,33338752,33390880,192.168.88.253,44168,518,,congestion_avoidance,
64,317107.186186,5700,42,33694960,33744192,192.168.88.253,44168,499,,congestion_avoidance,
65,317107.189748,5800,42,34059856,34117776,192.168.88.253,44168,571,,congestion_avoidance,
66,317107.193387,5900,42,34430544,34491360,192.168.88.253,44168,497,,congestion_avoidance,
67,317107.196756,6000,42,34791096,34844672,192.168.88.253,44168,592,,congestion_avoidance,
68,317107.200637,6100,42,35131376,35196536,192.168.88.253,44168,712,,congestion_avoidance,
69,317107.204370,6200,42,35484688,35551296,192.168.88.253,44168,663,,congestion_avoidance,
70,317107.208224,6300,42,35852480,35903160,192.168.88.253,44168,554,,congestion_avoidance,
71,317107.212016,6400,42,36223168,36276744,192.168.88.253,44168,525,,congestion_avoidance,
72,317107.215786,6500,42,36605440,36672048,192.168.88.253,44168,629,,congestion_avoidance,
73,317107.219543,6600,42,36960200,37023912,192.168.88.253,44168,515,,congestion_avoidance,
74,317107.223279,6700,42,37317856,37377224,192.168.88.253,44168,571,,congestion_avoidance,
75,317107.226857,6800,42,37658136,37708816,192.168.88.253,44168,652,,congestion_avoidance,
76,317107.230612,6900,42,37999864,38063576,192.168.88.253,44168,618,,congestion_avoidance,
77,317107.234463,7000,42,38350280,38416888,192.168.88.253,44168,649,,congestion_avoidance,
78,317107.238229,7100,42,38716624,38767304,192.168.88.253,44168,669,,congestion_avoidance,
79,317107.241996,7200,42,39080072,39140888,192.168.88.253,44168,607,,congestion_avoidance,
80,317107.247388,7300,42,39634656,39685336,192.168.88.253,44168,408,,congestion_avoidance,
