[286172.233242] TCP: my_cca: seq=371856 cwnd=6 rtt=424 bytes_acked=1073741830 bytes_sent=1102355757 phase=congestion_avoidance Destination: 192.168.88.253:39150
[286188.849393] TCP: my_cca: seq=1 cwnd=10 rtt=501 bytes_acked=7240 bytes_sent=14480 phase=slow_start Destination: 192.168.88.253:50046
[286188.855547] TCP: my_cca: seq=100 cwnd=8 rtt=354 bytes_acked=199824 bytes_sent=208512 phase=slow_start Destination: 192.168.88.253:50046
[286188.864547] TCP: my_cca: seq=200 cwnd=8 rtt=291 bytes_acked=469152 bytes_sent=477840 phase=slow_start Destination: 192.168.88.253:50046
[286188.874186] TCP: my_cca: seq=300 cwnd=8 rtt=386 bytes_acked=757304 bytes_sent=765992 phase=slow_start Destination: 192.168.88.253:50046
[286188.883075] TCP: my_cca: seq=400 cwnd=8 rtt=398 bytes_acked=1020840 bytes_sent=1026632 phase=slow_start Destination: 192.168.88.253:50046
[286188.892449] TCP: my_cca: seq=500 cwnd=8 rtt=348 bytes_acked=1303200 bytes_sent=1308992 phase=slow_start Destination: 192.168.88.253:50046
[286188.900690] TCP: my_cca: seq=600 cwnd=8 rtt=393 bytes_acked=1549360 bytes_sent=1558048 phase=slow_start Destination: 192.168.88.253:50046
[286188.909447] TCP: my_cca: seq=700 cwnd=8 rtt=396 bytes_acked=1810000 bytes_sent=1815792 phase=slow_start Destination: 192.168.88.253:50046
[286188.918109] TCP: my_cca: seq=800 cwnd=8 rtt=350 bytes_acked=2069192 bytes_sent=2076432 phase=slow_start Destination: 192.168.88.253:50046
[286188.926090] TCP: my_cca: seq=900 cwnd=8 rtt=399 bytes_acked=2306664 bytes_sent=2313904 phase=slow_start Destination: 192.168.88.253:50046
[286188.934735] TCP: my_cca: seq=1000 cwnd=8 rtt=397 bytes_acked=2565856 bytes_sent=2575992 phase=slow_start Destination: 192.168.88.253:50046
[286188.943272] TCP: my_cca: seq=1100 cwnd=8 rtt=243 bytes_acked=2822152 bytes_sent=2830840 phase=slow_start Destination: 192.168.88.253:50046
[286188.951852] TCP: my_cca: seq=1200 cwnd=8 rtt=391 bytes_acked=3078448 bytes_sent=3084240 phase=slow_start Destination: 192.168.88.253:50046
[286188.959905] TCP: my_cca: seq=1300 cwnd=8 rtt=295 bytes_acked=3317368 bytes_sent=3326056 phase=slow_start Destination: 192.168.88.253:50046
[286188.968528] TCP: my_cca: seq=1400 cwnd=8 rtt=395 bytes_acked=3576560 bytes_sent=3582352 phase=slow_start Destination: 192.168.88.253:50046
[286188.977749] TCP: my_cca: seq=1500 cwnd=8 rtt=314 bytes_acked=3851680 bytes_sent=3860368 phase=slow_start Destination: 192.168.88.253:50046
[286188.987080] TCP: my_cca: seq=1600 cwnd=8 rtt=296 bytes_acked=4131144 bytes_sent=4138384 phase=slow_start Destination: 192.168.88.253:50046
[286188.995927] TCP: my_cca: seq=1700 cwnd=8 rtt=391 bytes_acked=4394680 bytes_sent=4404816 phase=slow_start Destination: 192.168.88.253:50046
[286189.005624] TCP: my_cca: seq=1800 cwnd=8 rtt=407 bytes_acked=4681384 bytes_sent=4688624 phase=slow_start Destination: 192.168.88.253:50046
[286189.014048] TCP: my_cca: seq=1900 cwnd=8 rtt=373 bytes_acked=4933336 bytes_sent=4940576 phase=slow_start Destination: 192.168.88.253:50046
