line_number,timestamp,seq,cwnd,ip,port,rtt,ssthresh,phase,ca_state
78,333694.775712,1,10,192.168.88.253,52036,158,,slow_start,
79,333694.776753,27,91,192.168.88.253,52036,413,,loss_recovery,
80,333694.777478,68,45,192.168.88.253,52036,388,,congestion_avoidance,
81,333694.777909,100,45,192.168.88.253,52036,511,,congestion_avoidance,
82,333694.779188,200,48,192.168.88.253,52036,496,,congestion_avoidance,
83,333694.780779,300,50,192.168.88.253,52036,583,,congestion_avoidance,
84,333694.782344,400,53,192.168.88.253,52036,490,,congestion_avoidance,
85,333694.785496,500,57,192.168.88.253,52036,525,,congestion_avoidance,
86,333694.788799,600,62,192.168.88.253,52036,675,,congestion_avoidance,
87,333694.792051,700,66,192.168.88.253,52036,791,,congestion_avoidance,
88,333694.795505,800,70,192.168.88.253,52036,751,,congestion_avoidance,
89,333694.798761,900,74,192.168.88.253,52036,677,,congestion_avoidance,
90,333694.800843,956,76,192.168.88.253,52036,633,,loss_recovery,
91,333694.801361,969,38,192.168.88.253,52036,339,,congestion_avoidance,
92,333694.802700,1000,40,192.168.88.253,52036,424,,congestion_avoidance,
93,333694.806065,1100,47,192.168.88.253,52036,564,,congestion_avoidance,
94,333694.809391,1200,52,192.168.88.253,52036,543,,congestion_avoidance,
95,333694.812603,1300,57,192.168.88.253,52036,623,,congestion_avoidance,
96,333694.815797,1400,61,192.168.88.253,52036,693,,congestion_avoidance,
97,333694.819767,1500,66,192.168.88.253,52036,732,,congestion_avoidance,
98,333694.823199,1600,71,192.168.88.253,52036,745,,congestion_avoidance,
99,333694.826092,1700,74,192.168.88.253,52036,700,,congestion_avoidance,
100,333694.828760,1786,77,192.168.88.253,52036,788,,loss_recovery,
101,333694.829181,1800,38,192.168.88.253,52036,590,,loss_recovery,
102,333694.829394,1807,38,192.168.88.253,52036,325,,congestion_avoidance,
103,333694.832242,1900,43,192.168.88.253,52036,393,,congestion_avoidance,
104,333694.835511,2000,49,192.168.88.253,52036,498,,congestion_avoidance,
105,333694.838478,2100,54,192.168.88.253,52036,552,,congestion_avoidance,
106,333694.841614,2200,58,192.168.88.253,52036,568,,congestion_avoidance,
107,333694.844691,2300,62,192.168.88.253,52036,745,,congestion_avoidance,
108,333694.847759,2400,66,192.168.88.253,52036,696,,congestion_avoidance,
109,333694.850847,2500,70,192.168.88.253,52036,564,,congestion_avoidance,
110,333694.853897,2600,73,192.168.88.253,52036,788,,congestion_avoidance,
111,333694.854180,2608,74,192.168.88.253,52036,761,,loss_recovery,
112,333694.854821,2629,37,192.168.88.253,52036,361,,congestion_avoidance,
113,333694.857004,2700,41,192.168.88.253,52036,476,,congestion_avoidance,
114,333694.859877,2800,47,192.168.88.253,52036,555,,congestion_avoidance,
115,333694.863023,2900,52,192.168.88.253,52036,546,,congestion_avoidance,
116,333694.866084,3000,56,192.168.88.253,52036,683,,congestion_avoidance,
117,333694.869116,3100,61,192.168.88.253,52036,577,,congestion_avoidance,
118,333694.872531,3200,65,192.168.88.253,52036,570,,congestion_avoidance,
119,333694.875621,3300,69,192.168.88.253,52036,737,,congestion_avoidance,
120,333694.878610,3400,72,192.168.88.253,52036,590,,congestion_avoidance,
