queue_bytes,burst_bytes,tgr_mbit,strategy,cwnd,throughput_mib_s,empirical_max_loss_rate
6250,5840,250,reno,6.18,25.11,0.2
6250,5840,250,empirical,5.0,28.11,0.2
6250,5840,250,bdp_plus_queue,11.0,26.13,0.2
6250,5840,250,bdp,8.0,27.59,0.2
6250,5840,500,reno,8.79,36.15,0.2
6250,5840,500,empirical,7.0,50.31,0.2
6250,5840,500,bdp_plus_queue,20.0,42.56,0.2
6250,5840,500,bdp,17.0,44.22,0.2
6250,5840,750,reno,8.8,50.31,0.2
6250,5840,750,empirical,9.0,71.73,0.2
6250,5840,750,bdp_plus_queue,28.0,50.08,0.2
6250,5840,750,bdp,25.0,50.19,0.2
6250,5840,1000,reno,8.75,51.26,0.2
6250,5840,1000,empirical,9.0,65.31,0.2
6250,5840,1000,bdp_plus_queue,37.0,49.86,0.2
6250,5840,1000,bdp,34.0,51.18,0.2
6250,12500,250,reno,6.25,26.18,0.2
6250,12500,250,empirical,5.0,28.26,0.2
6250,12500,250,bdp_plus_queue,11.0,28.26,0.2
6250,12500,250,bdp,8.0,28.21,0.2
6250,12500,500,reno,9.93,15.63,0.2
6250,12500,500,empirical,7.0,56.22,0.2
6250,12500,500,bdp_plus_queue,20.0,16.86,0.2
6250,12500,500,bdp,17.0,18.41,0.2
6250,12500,750,reno,10.17,10.47,0.2
6250,12500,750,empirical,9.0,79.46,0.2
6250,12500,750,bdp_plus_queue,28.0,12.73,0.2
6250,12500,750,bdp,25.0,11.56,0.2
6250,12500,1000,reno,10.14,13.64,0.2
6250,12500,1000,empirical,9.0,61.57,0.2
6250,12500,1000,bdp_plus_queue,37.0,15.4,0.2
6250,12500,1000,bdp,34.0,11.51,0.2
6250,25000,250,reno,6.33,25.43,0.2
6250,25000,250,empirical,5.0,28.24,0.2
6250,25000,250,bdp_plus_queue,11.0,26.04,0.2
6250,25000,250,bdp,8.0,28.08,0.2
6250,25000,500,reno,9.72,14.23,0.2
6250,25000,500,empirical,7.0,50.01,0.2
6250,25000,500,bdp_plus_queue,20.0,13.25,0.2
6250,25000,500,bdp,17.0,10.89,0.2
6250,25000,750,reno,10.17,12.46,0.2
6250,25000,750,empirical,9.0,78.14,0.2
6250,25000,750,bdp_plus_queue,28.0,12.72,0.2
6250,25000,750,bdp,25.0,15.35,0.2
6250,25000,1000,reno,10.18,16.76,0.2
6250,25000,1000,empirical,9.0,79.53,0.2
6250,25000,1000,bdp_plus_queue,37.0,15.95,0.2
6250,25000,1000,bdp,34.0,12.96,0.2
6250,50000,250,reno,6.09,25.55,0.2
6250,50000,250,empirical,5.0,28.19,0.2
6250,50000,250,bdp_plus_queue,11.0,26.16,0.2
6250,50000,250,bdp,8.0,28.3,0.2
6250,50000,500,reno,9.79,17.63,0.2
6250,50000,500,empirical,7.0,56.2,0.2
6250,50000,500,bdp_plus_queue,20.0,14.34,0.2
6250,50000,500,bdp,17.0,12.74,0.2
6250,50000,750,reno,10.17,17.07,0.2
6250,50000,750,empirical,9.0,79.33,0.2
