[355718.109256] perf: interrupt took too long (4959 > 4945), lowering kernel.perf_event_max_sample_rate to 40250
[356888.835626] audit: type=1400 audit(1781020376.256:155): apparmor="DENIED" operation="open" profile="snap.docker.docker" name="/proc/1749866/mountinfo" pid=1749866 comm="docker" requested_mask="r" denied_mask="r" fsuid=1000 ouid=1000
[374239.088630] TCP: my_cca: seq=1 cwnd=10 rtt=521 bytes_acked=4344 bytes_sent=10220 phase=slow_start Destination: 192.168.88.253:36366
[374239.091280] TCP: my_cca: seq=38 cwnd=16 rtt=238 bytes_acked=130404 bytes_sent=136196 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.091447] TCP: my_cca: seq=40 cwnd=8 rtt=119 bytes_acked=136196 bytes_sent=144884 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.091621] TCP: my_cca: seq=41 cwnd=8 rtt=211 bytes_acked=139092 bytes_sent=157916 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.091809] TCP: my_cca: seq=44 cwnd=4 rtt=259 bytes_acked=144884 bytes_sent=160812 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.092327] TCP: my_cca: seq=49 cwnd=6 rtt=268 bytes_acked=159364 bytes_sent=178188 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.092588] TCP: my_cca: seq=52 cwnd=3 rtt=108 bytes_acked=168052 bytes_sent=185428 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.093198] TCP: my_cca: seq=59 cwnd=6 rtt=226 bytes_acked=185428 bytes_sent=207148 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.093450] TCP: my_cca: seq=62 cwnd=3 rtt=109 bytes_acked=194116 bytes_sent=214388 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.094078] TCP: my_cca: seq=68 cwnd=6 rtt=280 bytes_acked=211492 bytes_sent=236108 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.094333] TCP: my_cca: seq=71 cwnd=3 rtt=105 bytes_acked=220180 bytes_sent=243348 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.094946] TCP: my_cca: seq=77 cwnd=6 rtt=274 bytes_acked=237556 bytes_sent=265068 phase=loss_recovery Destination: 192.168.88.253:36366
[374239.095151] TCP: my_cca: seq=80 cwnd=3 rtt=115 bytes_acked=244796 bytes_sent=270860 phase=congestion_avoidance Destination: 192.168.88.253:36366
[374239.095670] TCP: my_cca: seq=88 cwnd=6 rtt=136 bytes_acked=262172 bytes_sent=294028 phase=loss_recovery Destination: 192.168.88.253:36366
