[ 6583.795387] TCP: my_cca: seq=1 cwnd=10 rtt=342 bytes_acked=4344 bytes_sent=10220 phase=slow_start Destination: 192.168.88.253:54910
[ 6583.798453] TCP: my_cca: seq=37 cwnd=16 rtt=249 bytes_acked=141988 bytes_sent=147780 phase=loss_recovery Destination: 192.168.88.253:54910
[ 6583.798704] TCP: my_cca: seq=40 cwnd=8 rtt=176 bytes_acked=150676 bytes_sent=159364 phase=congestion_avoidance Destination: 192.168.88.253:54910
[ 6583.798764] TCP: my_cca: seq=42 cwnd=8 rtt=168 bytes_acked=153572 bytes_sent=166604 phase=loss_recovery Destination: 192.168.88.253:54910
[ 6583.799081] TCP: my_cca: seq=46 cwnd=4 rtt=134 bytes_acked=163708 bytes_sent=175292 phase=congestion_avoidance Destination: 192.168.88.253:54910
[ 6583.799495] TCP: my_cca: seq=51 cwnd=6 rtt=204 bytes_acked=175292 bytes_sent=194116 phase=loss_recovery Destination: 192.168.88.253:54910
[ 6583.799787] TCP: my_cca: seq=54 cwnd=3 rtt=98 bytes_acked=183980 bytes_sent=199908 phase=congestion_avoidance Destination: 192.168.88.253:54910
[ 6583.800489] TCP: my_cca: seq=62 cwnd=6 rtt=270 bytes_acked=202804 bytes_sent=223076 phase=loss_recovery Destination: 192.168.88.253:54910
[ 6583.800748] TCP: my_cca: seq=65 cwnd=3 rtt=110 bytes_acked=211492 bytes_sent=230316 phase=congestion_avoidance Destination: 192.168.88.253:54910
[ 6583.801358] TCP: my_cca: seq=72 cwnd=6 rtt=256 bytes_acked=228868 bytes_sent=254932 phase=loss_recovery Destination: 192.168.88.253:54910
[ 6583.801610] TCP: my_cca: seq=75 cwnd=3 rtt=110 bytes_acked=237556 bytes_sent=262172 phase=congestion_avoidance Destination: 192.168.88.253:54910
[ 6583.802235] TCP: my_cca: seq=82 cwnd=6 rtt=262 bytes_acked=254932 bytes_sent=283892 phase=loss_recovery Destination: 192.168.88.253:54910
[ 6583.802491] TCP: my_cca: seq=85 cwnd=3 rtt=109 bytes_acked=263620 bytes_sent=291132 phase=congestion_avoidance Destination: 192.168.88.253:54910
[ 6583.803107] TCP: my_cca: seq=92 cwnd=6 rtt=270 bytes_acked=280996 bytes_sent=312852 phase=loss_recovery Destination: 192.168.88.253:54910
[ 6583.803362] TCP: my_cca: seq=95 cwnd=3 rtt=113 bytes_acked=289684 bytes_sent=320092 phase=congestion_avoidance Destination: 192.168.88.253:54910
