line_number,timestamp,seq,cwnd,bytes_acked,bytes_sent,ip,port,rtt,ssthresh,phase,ca_state
1,6583.795387,1,10,4344,10220,192.168.88.253,54910,342,,slow_start,
2,6583.798453,37,16,141988,147780,192.168.88.253,54910,249,,loss_recovery,
3,6583.798704,40,8,150676,159364,192.168.88.253,54910,176,,congestion_avoidance,
4,6583.798764,42,8,153572,166604,192.168.88.253,54910,168,,loss_recovery,
5,6583.799081,46,4,163708,175292,192.168.88.253,54910,134,,congestion_avoidance,
6,6583.799495,51,6,175292,194116,192.168.88.253,54910,204,,loss_recovery,
7,6583.799787,54,3,183980,199908,192.168.88.253,54910,98,,congestion_avoidance,
8,6583.800489,62,6,202804,223076,192.168.88.253,54910,270,,loss_recovery,
9,6583.800748,65,3,211492,230316,192.168.88.253,54910,110,,congestion_avoidance,
10,6583.801358,72,6,228868,254932,192.168.88.253,54910,256,,loss_recovery,
11,6583.801610,75,3,237556,262172,192.168.88.253,54910,110,,congestion_avoidance,
12,6583.802235,82,6,254932,283892,192.168.88.253,54910,262,,loss_recovery,
13,6583.802491,85,3,263620,291132,192.168.88.253,54910,109,,congestion_avoidance,
14,6583.803107,92,6,280996,312852,192.168.88.253,54910,270,,loss_recovery,
15,6583.803362,95,3,289684,320092,192.168.88.253,54910,113,,congestion_avoidance,
16,6583.803705,100,5,301268,334572,192.168.88.253,54910,140,,congestion_avoidance,
17,6583.803980,102,6,307060,341812,192.168.88.253,54910,268,,loss_recovery,
18,6583.804236,105,3,315748,349052,192.168.88.253,54910,113,,congestion_avoidance,
19,6583.804803,112,6,333124,370772,192.168.88.253,54910,247,,loss_recovery,
20,6583.805050,116,3,341812,378012,192.168.88.253,54910,110,,congestion_avoidance,
21,6583.805725,123,6,359188,399732,192.168.88.253,54910,279,,loss_recovery,
22,6583.805947,126,3,366428,406972,192.168.88.253,54910,129,,congestion_avoidance,
23,6583.806469,134,6,383804,428692,192.168.88.253,54910,154,,loss_recovery,
24,6583.806753,137,3,392492,434484,192.168.88.253,54910,101,,congestion_avoidance,
25,6583.807188,143,6,405524,453308,192.168.88.253,54910,154,,loss_recovery,
26,6583.807503,146,3,414212,459100,192.168.88.253,54910,105,,congestion_avoidance,
27,6583.808064,154,6,431588,482268,192.168.88.253,54910,182,,loss_recovery,
28,6583.808370,157,3,440276,488060,192.168.88.253,54910,105,,congestion_avoidance,
29,6583.809064,165,6,459100,511228,192.168.88.253,54910,271,,loss_recovery,
30,6583.809321,168,3,467788,518468,192.168.88.253,54910,105,,congestion_avoidance,
31,6583.809802,175,6,483716,540188,192.168.88.253,54910,174,,loss_recovery,
32,6583.810160,179,3,492404,547428,192.168.88.253,54910,124,,congestion_avoidance,
33,6583.810681,187,6,509780,569148,192.168.88.253,54910,191,,loss_recovery,
34,6583.810946,191,3,518468,574940,192.168.88.253,54910,89,,congestion_avoidance,
35,6583.811681,198,6,537292,598108,192.168.88.253,54910,278,,loss_recovery,
36,6583.811813,200,3,543084,602452,192.168.88.253,54910,95,,loss_recovery,
37,6583.811943,201,3,545980,605348,192.168.88.253,54910,108,,congestion_avoidance,
38,6583.812422,208,6,561908,627068,192.168.88.253,54910,166,,loss_recovery,
39,6583.812785,212,3,570596,634308,192.168.88.253,54910,127,,congestion_avoidance,
40,6583.813297,220,6,587972,656028,192.168.88.253,54910,186,,loss_recovery,
41,6583.813574,224,3,596660,661820,192.168.88.253,54910,101,,congestion_avoidance,
42,6583.814304,231,6,615484,684988,192.168.88.253,54910,276,,loss_recovery,
43,6583.814565,234,3,624172,692228,192.168.88.253,54910,111,,congestion_avoidance,
44,6583.815039,241,6,640100,713948,192.168.88.253,54910,166,,loss_recovery,
45,6583.815400,245,3,648788,721188,192.168.88.253,54910,120,,congestion_avoidance,
46,6583.815913,253,6,666164,742908,192.168.88.253,54910,177,,loss_recovery,
47,6583.816177,256,3,674852,748700,192.168.88.253,54910,95,,congestion_avoidance,
48,6583.816912,264,6,693676,771868,192.168.88.253,54910,268,,loss_recovery,
49,6583.817169,267,3,702364,779108,192.168.88.253,54910,109,,congestion_avoidance,
50,6583.817659,274,6,718292,800828,192.168.88.253,54910,168,,loss_recovery,
51,6583.818012,278,3,726980,808068,192.168.88.253,54910,120,,congestion_avoidance,
52,6583.818538,286,6,744356,829788,192.168.88.253,54910,195,,loss_recovery,
53,6583.818815,289,3,753044,835580,192.168.88.253,54910,99,,congestion_avoidance,
54,6583.819484,297,6,771868,858748,192.168.88.253,54910,232,,loss_recovery,
55,6583.819615,300,3,777660,863092,192.168.88.253,54910,96,,loss_recovery,
56,6583.819737,301,3,780556,865988,192.168.88.253,54910,109,,congestion_avoidance,
57,6583.820269,308,6,796484,887708,192.168.88.253,54910,175,,loss_recovery,
58,6583.820638,312,3,805172,894948,192.168.88.253,54910,122,,congestion_avoidance,
59,6583.821148,320,6,822548,916668,192.168.88.253,54910,167,,loss_recovery,
60,6583.821405,323,3,831236,922460,192.168.88.253,54910,93,,congestion_avoidance,
61,6583.822145,330,6,850060,945628,192.168.88.253,54910,277,,loss_recovery,
62,6583.822421,333,3,858748,952868,192.168.88.253,54910,114,,congestion_avoidance,
63,6583.822887,340,6,874676,974588,192.168.88.253,54910,164,,loss_recovery,
64,6583.823227,344,3,883364,981828,192.168.88.253,54910,120,,congestion_avoidance,
65,6583.823758,352,6,900740,1003548,192.168.88.253,54910,186,,loss_recovery,
66,6583.824025,356,3,909428,1009340,192.168.88.253,54910,98,,congestion_avoidance,
67,6583.824764,363,6,928252,1032508,192.168.88.253,54910,261,,loss_recovery,
68,6583.825024,366,3,936940,1039748,192.168.88.253,54910,108,,congestion_avoidance,
69,6583.825484,373,6,952868,1061468,192.168.88.253,54910,145,,loss_recovery,
70,6583.825858,377,3,961556,1068708,192.168.88.253,54910,129,,congestion_avoidance,
71,6583.826380,384,6,978932,1090428,192.168.88.253,54910,185,,loss_recovery,
72,6583.826642,387,3,987620,1096220,192.168.88.253,54910,94,,congestion_avoidance,
73,6583.827382,395,6,1006444,1119388,192.168.88.253,54910,270,,loss_recovery,
74,6583.827644,398,3,1015132,1126628,192.168.88.253,54910,111,,congestion_avoidance,
75,6583.827784,400,4,1020924,1132420,192.168.88.253,54910,105,,congestion_avoidance,
76,6583.828117,405,6,1031060,1148348,192.168.88.253,54910,172,,loss_recovery,
77,6583.828473,409,3,1039748,1155588,192.168.88.253,54910,127,,congestion_avoidance,
78,6583.828988,417,6,1057124,1177308,192.168.88.253,54910,184,,loss_recovery,
79,6583.829260,421,3,1065812,1183100,192.168.88.253,54910,96,,congestion_avoidance,
80,6583.829867,429,6,1083188,1206268,192.168.88.253,54910,155,,loss_recovery,
81,6583.830218,433,3,1091876,1213508,192.168.88.253,54910,124,,congestion_avoidance,
82,6583.830735,441,6,1109252,1235228,192.168.88.253,54910,187,,loss_recovery,
83,6583.831001,444,3,1117940,1241020,192.168.88.253,54910,95,,congestion_avoidance,
84,6583.831547,450,6,1132420,1259844,192.168.88.253,54910,219,,loss_recovery,
85,6583.831791,454,3,1141108,1267084,192.168.88.253,54910,107,,congestion_avoidance,
86,6583.832330,461,6,1157036,1288804,192.168.88.253,54910,162,,loss_recovery,
87,6583.832690,465,3,1165724,1296044,192.168.88.253,54910,128,,congestion_avoidance,
88,6583.833366,473,6,1185996,1319212,192.168.88.253,54910,218,,loss_recovery,
89,6583.833584,476,3,1191788,1326452,192.168.88.253,54910,130,,congestion_avoidance,
90,6583.834207,483,6,1210612,1351068,192.168.88.253,54910,251,,loss_recovery,
91,6583.834475,486,3,1219300,1358308,192.168.88.253,54910,131,,congestion_avoidance,
92,6583.834921,493,6,1235228,1380028,192.168.88.253,54910,157,,loss_recovery,
93,6583.835302,497,3,1243916,1387268,192.168.88.253,54910,123,,congestion_avoidance,
94,6583.835544,500,5,1252604,1395956,192.168.88.253,54910,98,,congestion_avoidance,
95,6583.835835,504,6,1261292,1411884,192.168.88.253,54910,208,,loss_recovery,
96,6583.836117,508,3,1269980,1419124,192.168.88.253,54910,123,,congestion_avoidance,
97,6583.836777,515,6,1288804,1440844,192.168.88.253,54910,227,,loss_recovery,
98,6583.837013,519,3,1297492,1448084,192.168.88.253,54910,94,,congestion_avoidance,
99,6583.837578,525,6,1313420,1469804,192.168.88.253,54910,180,,loss_recovery,
100,6583.837915,529,3,1322108,1475596,192.168.88.253,54910,114,,congestion_avoidance,
101,6583.838415,537,6,1339484,1498764,192.168.88.253,54910,112,,loss_recovery,
102,6583.838743,541,3,1348172,1506004,192.168.88.253,54910,128,,congestion_avoidance,
103,6583.839443,548,6,1366996,1527724,192.168.88.253,54910,280,,loss_recovery,
104,6583.839699,551,3,1375684,1534964,192.168.88.253,54910,106,,congestion_avoidance,
105,6583.840148,557,6,1391612,1556684,192.168.88.253,54910,134,,loss_recovery,
106,6583.840544,561,3,1400300,1563924,192.168.88.253,54910,130,,congestion_avoidance,
107,6583.841207,569,6,1422020,1591436,192.168.88.253,54910,215,,loss_recovery,
108,6583.841425,571,3,1426364,1598676,192.168.88.253,54910,131,,congestion_avoidance,
109,6583.842055,578,6,1445188,1620396,192.168.88.253,54910,270,,loss_recovery,
110,6583.842308,581,3,1453876,1627636,192.168.88.253,54910,106,,congestion_avoidance,
111,6583.842795,587,6,1469804,1649356,192.168.88.253,54910,120,,loss_recovery,
112,6583.843140,591,3,1478492,1656596,192.168.88.253,54910,118,,congestion_avoidance,
113,6583.843701,598,6,1495868,1678316,192.168.88.253,54910,121,,loss_recovery,
114,6583.843845,600,3,1500212,1679764,192.168.88.253,54910,222,,loss_recovery,
115,6583.844019,602,3,1504556,1685556,192.168.88.253,54910,121,,congestion_avoidance,
116,6583.844674,609,6,1523380,1707276,192.168.88.253,54910,284,,loss_recovery,
117,6583.845028,612,3,1533516,1714516,192.168.88.253,54910,102,,congestion_avoidance,
118,6583.845703,621,7,1556684,1744924,192.168.88.253,54910,193,,loss_recovery,
119,6583.846118,624,3,1565372,1752164,192.168.88.253,54910,157,,congestion_avoidance,
120,6583.846719,632,6,1585644,1775332,192.168.88.253,54910,197,,loss_recovery,
121,6583.846930,635,3,1591436,1782572,192.168.88.253,54910,127,,congestion_avoidance,
122,6583.847592,642,6,1611708,1810084,192.168.88.253,54910,206,,loss_recovery,
123,6583.847792,645,3,1617500,1817324,192.168.88.253,54910,115,,congestion_avoidance,
124,6583.848461,653,6,1637772,1844836,192.168.88.253,54910,205,,loss_recovery,
125,6583.848661,656,3,1643564,1852076,192.168.88.253,54910,116,,congestion_avoidance,
126,6583.849333,663,6,1663836,1879588,192.168.88.253,54910,204,,loss_recovery,
127,6583.849535,666,3,1669628,1886828,192.168.88.253,54910,116,,congestion_avoidance,
128,6583.850195,674,6,1688452,1908548,192.168.88.253,54910,255,,loss_recovery,
129,6583.850443,677,3,1697140,1915788,192.168.88.253,54910,108,,congestion_avoidance,
130,6583.850945,683,6,1713068,1937508,192.168.88.253,54910,176,,loss_recovery,
131,6583.851293,687,3,1721756,1944748,192.168.88.253,54910,126,,congestion_avoidance,
132,6583.851951,695,6,1742028,1972260,192.168.88.253,54910,205,,loss_recovery,
133,6583.852148,698,3,1747820,1979500,192.168.88.253,54910,113,,congestion_avoidance,
134,6583.852302,700,4,1752164,1985292,192.168.88.253,54910,117,,congestion_avoidance,
135,6583.852812,705,6,1766644,2001220,192.168.88.253,54910,282,,loss_recovery,
136,6583.853055,708,3,1775332,2008460,192.168.88.253,54910,103,,congestion_avoidance,
137,6583.853535,714,6,1791260,2030180,192.168.88.253,54910,158,,loss_recovery,
138,6583.853902,718,3,1799948,2037420,192.168.88.253,54910,123,,congestion_avoidance,
139,6583.854569,726,6,1820220,2064932,192.168.88.253,54910,206,,loss_recovery,
140,6583.854776,729,3,1826012,2072172,192.168.88.253,54910,123,,congestion_avoidance,
141,6583.855427,736,6,1844836,2093892,192.168.88.253,54910,284,,loss_recovery,
142,6583.855674,739,3,1853524,2101132,192.168.88.253,54910,106,,congestion_avoidance,
143,6583.856149,745,6,1869452,2122852,192.168.88.253,54910,158,,loss_recovery,
