[ 5913.454883] TCP: my_cca: seq=1 cwnd=10 rtt=191 bytes_acked=1448 bytes_sent=10220 phase=slow_start Destination: 192.168.88.253:34706
[ 5913.456618] TCP: my_cca: seq=32 cwnd=18 rtt=242 bytes_acked=98548 bytes_sent=104340 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.457101] TCP: my_cca: seq=39 cwnd=4 rtt=170 bytes_acked=115924 bytes_sent=124612 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.457670] TCP: my_cca: seq=44 cwnd=6 rtt=226 bytes_acked=131852 bytes_sent=150676 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.457894] TCP: my_cca: seq=46 cwnd=3 rtt=130 bytes_acked=136196 bytes_sent=157916 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.458518] TCP: my_cca: seq=54 cwnd=6 rtt=201 bytes_acked=156468 bytes_sent=181084 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.458760] TCP: my_cca: seq=57 cwnd=3 rtt=106 bytes_acked=163708 bytes_sent=188324 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.459377] TCP: my_cca: seq=63 cwnd=6 rtt=281 bytes_acked=181084 bytes_sent=210044 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.459631] TCP: my_cca: seq=66 cwnd=3 rtt=108 bytes_acked=189772 bytes_sent=217284 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.460272] TCP: my_cca: seq=73 cwnd=6 rtt=294 bytes_acked=208596 bytes_sent=240452 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.460521] TCP: my_cca: seq=76 cwnd=3 rtt=102 bytes_acked=215836 bytes_sent=247692 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.465974] TCP: my_cca: seq=100 cwnd=7 rtt=137 bytes_acked=288236 bytes_sent=322988 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.467227] TCP: my_cca: seq=128 cwnd=7 rtt=263 bytes_acked=359188 bytes_sent=395388 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.467511] TCP: my_cca: seq=131 cwnd=3 rtt=107 bytes_acked=367876 bytes_sent=402628 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.468099] TCP: my_cca: seq=137 cwnd=6 rtt=264 bytes_acked=385252 bytes_sent=424348 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.468357] TCP: my_cca: seq=140 cwnd=3 rtt=108 bytes_acked=393940 bytes_sent=431588 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.468970] TCP: my_cca: seq=147 cwnd=6 rtt=282 bytes_acked=411316 bytes_sent=453308 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.469217] TCP: my_cca: seq=150 cwnd=3 rtt=100 bytes_acked=420004 bytes_sent=460548 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.469718] TCP: my_cca: seq=157 cwnd=6 rtt=188 bytes_acked=435932 bytes_sent=482268 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.470065] TCP: my_cca: seq=161 cwnd=3 rtt=124 bytes_acked=444620 bytes_sent=489508 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.470577] TCP: my_cca: seq=168 cwnd=6 rtt=179 bytes_acked=461996 bytes_sent=511228 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.470870] TCP: my_cca: seq=172 cwnd=3 rtt=114 bytes_acked=470684 bytes_sent=517020 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.471581] TCP: my_cca: seq=180 cwnd=6 rtt=246 bytes_acked=489508 bytes_sent=540188 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.471838] TCP: my_cca: seq=183 cwnd=3 rtt=105 bytes_acked=498196 bytes_sent=547428 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.472451] TCP: my_cca: seq=190 cwnd=6 rtt=271 bytes_acked=515572 bytes_sent=569148 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.472693] TCP: my_cca: seq=193 cwnd=3 rtt=101 bytes_acked=524260 bytes_sent=576388 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.473327] TCP: my_cca: seq=200 cwnd=6 rtt=281 bytes_acked=541636 bytes_sent=598108 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.473596] TCP: my_cca: seq=203 cwnd=3 rtt=105 bytes_acked=550324 bytes_sent=605348 phase=congestion_avoidance Destination: 192.168.88.253:34706
[ 5913.474199] TCP: my_cca: seq=210 cwnd=6 rtt=265 bytes_acked=567700 bytes_sent=627068 phase=loss_recovery Destination: 192.168.88.253:34706
[ 5913.474576] TCP: my_cca: seq=213 cwnd=3 rtt=287 bytes_acked=574940 bytes_sent=632860 phase=congestion_avoidance Destination: 192.168.88.253:34706
