[211554.678850] TCP: my_cca: seq=1 cwnd=10 rtt=272 bytes_acked=4344 bytes_sent=10220 phase=slow_start Destination: 192.168.88.253:41812
[211554.680805] TCP: my_cca: seq=38 cwnd=16 rtt=273 bytes_acked=107236 bytes_sent=113028 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.681041] TCP: my_cca: seq=41 cwnd=8 rtt=170 bytes_acked=115924 bytes_sent=121716 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.681254] TCP: my_cca: seq=43 cwnd=8 rtt=207 bytes_acked=121716 bytes_sent=130404 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.681433] TCP: my_cca: seq=46 cwnd=4 rtt=133 bytes_acked=127508 bytes_sent=139092 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.681959] TCP: my_cca: seq=52 cwnd=6 rtt=257 bytes_acked=141988 bytes_sent=155020 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.682256] TCP: my_cca: seq=55 cwnd=3 rtt=107 bytes_acked=150676 bytes_sent=162260 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.682690] TCP: my_cca: seq=62 cwnd=6 rtt=124 bytes_acked=166604 bytes_sent=186876 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.683050] TCP: my_cca: seq=66 cwnd=3 rtt=122 bytes_acked=175292 bytes_sent=194116 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.683726] TCP: my_cca: seq=73 cwnd=6 rtt=204 bytes_acked=195564 bytes_sent=217284 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.683932] TCP: my_cca: seq=76 cwnd=3 rtt=118 bytes_acked=201356 bytes_sent=224524 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.684440] TCP: my_cca: seq=83 cwnd=6 rtt=175 bytes_acked=218732 bytes_sent=249140 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.684812] TCP: my_cca: seq=86 cwnd=3 rtt=176 bytes_acked=227420 bytes_sent=254932 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.685413] TCP: my_cca: seq=94 cwnd=6 rtt=190 bytes_acked=247692 bytes_sent=279548 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.685655] TCP: my_cca: seq=97 cwnd=3 rtt=105 bytes_acked=254932 bytes_sent=286788 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.685984] TCP: my_cca: seq=100 cwnd=5 rtt=128 bytes_acked=263620 bytes_sent=296924 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.686326] TCP: my_cca: seq=104 cwnd=6 rtt=269 bytes_acked=272308 bytes_sent=308508 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.686576] TCP: my_cca: seq=107 cwnd=3 rtt=105 bytes_acked=280996 bytes_sent=315748 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.687307] TCP: my_cca: seq=113 cwnd=6 rtt=382 bytes_acked=301268 bytes_sent=337468 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.687560] TCP: my_cca: seq=115 cwnd=3 rtt=104 bytes_acked=307060 bytes_sent=344708 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.688198] TCP: my_cca: seq=124 cwnd=7 rtt=130 bytes_acked=331676 bytes_sent=375116 phase=loss_recovery Destination: 192.168.88.253:41812
[211554.688616] TCP: my_cca: seq=128 cwnd=3 rtt=105 bytes_acked=341812 bytes_sent=382356 phase=congestion_avoidance Destination: 192.168.88.253:41812
[211554.689234] TCP: my_cca: seq=134 cwnd=6 rtt=185 bytes_acked=359188 bytes_sent=404076 phase=loss_recovery Destination: 192.168.88.253:41812
