[206115.574207] audit: type=1400 audit(1780869602.243:146): apparmor="DENIED" operation="capable" profile="/usr/sbin/cupsd" pid=137210 comm="cupsd" capability=12  capname="net_admin"
[208699.375584] audit: type=1400 audit(1780872186.060:147): apparmor="DENIED" operation="open" profile="snap.docker.docker" name="/proc/1177300/mountinfo" pid=1177300 comm="docker" requested_mask="r" denied_mask="r" fsuid=1000 ouid=1000
[208745.893923] TCP: my_cca: seq=1 cwnd=10 rtt=344 bytes_acked=5792 bytes_sent=11584 phase=slow_start Destination: 192.168.88.253:42620
[208745.902565] TCP: my_cca: seq=100 cwnd=18 rtt=143 bytes_acked=408336 bytes_sent=409784 phase=slow_start Destination: 192.168.88.253:42620
[208745.910115] TCP: my_cca: seq=200 cwnd=18 rtt=187 bytes_acked=792056 bytes_sent=797848 phase=slow_start Destination: 192.168.88.253:42620
[208745.917115] TCP: my_cca: seq=300 cwnd=18 rtt=209 bytes_acked=1145368 bytes_sent=1152608 phase=slow_start Destination: 192.168.88.253:42620
[208745.924324] TCP: my_cca: seq=400 cwnd=18 rtt=129 bytes_acked=1517504 bytes_sent=1526192 phase=slow_start Destination: 192.168.88.253:42620
[208745.930535] TCP: my_cca: seq=500 cwnd=18 rtt=134 bytes_acked=1844752 bytes_sent=1851992 phase=slow_start Destination: 192.168.88.253:42620
[208745.936955] TCP: my_cca: seq=600 cwnd=18 rtt=143 bytes_acked=2186480 bytes_sent=2193720 phase=slow_start Destination: 192.168.88.253:42620
[208745.943540] TCP: my_cca: seq=700 cwnd=18 rtt=145 bytes_acked=2534000 bytes_sent=2541240 phase=slow_start Destination: 192.168.88.253:42620
[208745.950168] TCP: my_cca: seq=800 cwnd=18 rtt=178 bytes_acked=2884416 bytes_sent=2885864 phase=slow_start Destination: 192.168.88.253:42620
[208745.957138] TCP: my_cca: seq=900 cwnd=18 rtt=139 bytes_acked=3246416 bytes_sent=3253656 phase=slow_start Destination: 192.168.88.253:42620
[208745.963328] TCP: my_cca: seq=1000 cwnd=18 rtt=111 bytes_acked=3575112 bytes_sent=3579456 phase=slow_start Destination: 192.168.88.253:42620
[208745.969988] TCP: my_cca: seq=1100 cwnd=18 rtt=164 bytes_acked=3925528 bytes_sent=3931320 phase=slow_start Destination: 192.168.88.253:42620
[208745.976698] TCP: my_cca: seq=1200 cwnd=18 rtt=183 bytes_acked=4288976 bytes_sent=4293320 phase=slow_start Destination: 192.168.88.253:42620
[208745.982766] TCP: my_cca: seq=1300 cwnd=18 rtt=110 bytes_acked=4629256 bytes_sent=4633600 phase=slow_start Destination: 192.168.88.253:42620
[208745.988561] TCP: my_cca: seq=1400 cwnd=18 rtt=131 bytes_acked=4960848 bytes_sent=4968088 phase=slow_start Destination: 192.168.88.253:42620
[208745.994139] TCP: my_cca: seq=1500 cwnd=18 rtt=125 bytes_acked=5288096 bytes_sent=5293888 phase=slow_start Destination: 192.168.88.253:42620
[208745.999779] TCP: my_cca: seq=1600 cwnd=18 rtt=112 bytes_acked=5625480 bytes_sent=5628376 phase=slow_start Destination: 192.168.88.253:42620
[208746.006055] TCP: my_cca: seq=1700 cwnd=18 rtt=138 bytes_acked=5971552 bytes_sent=5977344 phase=slow_start Destination: 192.168.88.253:42620
[208746.011370] TCP: my_cca: seq=1800 cwnd=18 rtt=99 bytes_acked=6291560 bytes_sent=6295904 phase=slow_start Destination: 192.168.88.253:42620
[208746.016802] TCP: my_cca: seq=1900 cwnd=18 rtt=156 bytes_acked=6602880 bytes_sent=6608672 phase=slow_start Destination: 192.168.88.253:42620
[208746.022558] TCP: my_cca: seq=2000 cwnd=18 rtt=110 bytes_acked=6928680 bytes_sent=6933024 phase=slow_start Destination: 192.168.88.253:42620
[208746.028010] TCP: my_cca: seq=2100 cwnd=18 rtt=156 bytes_acked=7240000 bytes_sent=7245792 phase=slow_start Destination: 192.168.88.253:42620
[208746.033999] TCP: my_cca: seq=2200 cwnd=18 rtt=166 bytes_acked=7568696 bytes_sent=7575936 phase=slow_start Destination: 192.168.88.253:42620
[208746.039062] TCP: my_cca: seq=2300 cwnd=18 rtt=161 bytes_acked=7871328 bytes_sent=7877120 phase=slow_start Destination: 192.168.88.253:42620
[208746.044221] TCP: my_cca: seq=2400 cwnd=18 rtt=155 bytes_acked=8182648 bytes_sent=8188440 phase=slow_start Destination: 192.168.88.253:42620
[208746.049235] TCP: my_cca: seq=2500 cwnd=18 rtt=134 bytes_acked=8482384 bytes_sent=8489624 phase=slow_start Destination: 192.168.88.253:42620
[208746.054523] TCP: my_cca: seq=2600 cwnd=18 rtt=162 bytes_acked=8796600 bytes_sent=8803840 phase=slow_start Destination: 192.168.88.253:42620
[208746.059423] TCP: my_cca: seq=2700 cwnd=18 rtt=152 bytes_acked=9103576 bytes_sent=9109368 phase=slow_start Destination: 192.168.88.253:42620
[208746.064564] TCP: my_cca: seq=2800 cwnd=18 rtt=166 bytes_acked=9406208 bytes_sent=9412000 phase=slow_start Destination: 192.168.88.253:42620
[208746.069900] TCP: my_cca: seq=2900 cwnd=18 rtt=133 bytes_acked=9727664 bytes_sent=9730560 phase=slow_start Destination: 192.168.88.253:42620
[208746.074966] TCP: my_cca: seq=3000 cwnd=18 rtt=148 bytes_acked=10036088 bytes_sent=10041880 phase=slow_start Destination: 192.168.88.253:42620
[208746.079465] TCP: my_cca: seq=3100 cwnd=18 rtt=141 bytes_acked=10321344 bytes_sent=10327136 phase=slow_start Destination: 192.168.88.253:42620
[208746.084634] TCP: my_cca: seq=3200 cwnd=18 rtt=131 bytes_acked=10634112 bytes_sent=10639904 phase=slow_start Destination: 192.168.88.253:42620
[208746.089330] TCP: my_cca: seq=3300 cwnd=18 rtt=122 bytes_acked=10929504 bytes_sent=10935296 phase=slow_start Destination: 192.168.88.253:42620
[208746.094785] TCP: my_cca: seq=3400 cwnd=18 rtt=137 bytes_acked=11240824 bytes_sent=11248064 phase=slow_start Destination: 192.168.88.253:42620
[208746.099241] TCP: my_cca: seq=3500 cwnd=18 rtt=161 bytes_acked=11518840 bytes_sent=11526080 phase=slow_start Destination: 192.168.88.253:42620
[208746.103964] TCP: my_cca: seq=3600 cwnd=18 rtt=122 bytes_acked=11804096 bytes_sent=11809888 phase=slow_start Destination: 192.168.88.253:42620
[208746.108428] TCP: my_cca: seq=3700 cwnd=18 rtt=141 bytes_acked=12098040 bytes_sent=12103832 phase=slow_start Destination: 192.168.88.253:42620
[208746.112947] TCP: my_cca: seq=3800 cwnd=18 rtt=122 bytes_acked=12380400 bytes_sent=12387640 phase=slow_start Destination: 192.168.88.253:42620
[208746.117292] TCP: my_cca: seq=3900 cwnd=18 rtt=108 bytes_acked=12662760 bytes_sent=12667104 phase=slow_start Destination: 192.168.88.253:42620
[208746.121445] TCP: my_cca: seq=4000 cwnd=18 rtt=119 bytes_acked=12939328 bytes_sent=12945120 phase=slow_start Destination: 192.168.88.253:42620
[208746.125661] TCP: my_cca: seq=4100 cwnd=18 rtt=130 bytes_acked=13220240 bytes_sent=13227480 phase=slow_start Destination: 192.168.88.253:42620
[208746.130114] TCP: my_cca: seq=4200 cwnd=18 rtt=119 bytes_acked=13509840 bytes_sent=13517080 phase=slow_start Destination: 192.168.88.253:42620
[208746.134255] TCP: my_cca: seq=4300 cwnd=18 rtt=138 bytes_acked=13782064 bytes_sent=13789304 phase=slow_start Destination: 192.168.88.253:42620
[208746.138660] TCP: my_cca: seq=4400 cwnd=18 rtt=162 bytes_acked=14068768 bytes_sent=14074560 phase=slow_start Destination: 192.168.88.253:42620
[208746.143731] TCP: my_cca: seq=4500 cwnd=18 rtt=118 bytes_acked=14372848 bytes_sent=14380088 phase=slow_start Destination: 192.168.88.253:42620
[208746.147807] TCP: my_cca: seq=4600 cwnd=18 rtt=116 bytes_acked=14650864 bytes_sent=14658104 phase=slow_start Destination: 192.168.88.253:42620
[208746.152494] TCP: my_cca: seq=4700 cwnd=18 rtt=149 bytes_acked=14936120 bytes_sent=14943360 phase=slow_start Destination: 192.168.88.253:42620
[208746.156499] TCP: my_cca: seq=4800 cwnd=18 rtt=151 bytes_acked=15204000 bytes_sent=15209792 phase=slow_start Destination: 192.168.88.253:42620
