line_number,timestamp,seq,cwnd,ip,port,rtt,ssthresh,phase,ca_state
72,335964.552266,1,10,192.168.88.253,41618,435,,slow_start,
73,335964.553348,28,98,192.168.88.253,41618,498,,loss_recovery,
74,335964.554049,58,49,192.168.88.253,41618,335,,congestion_avoidance,
75,335964.554942,100,50,192.168.88.253,41618,459,,congestion_avoidance,
76,335964.557082,200,53,192.168.88.253,41618,459,,congestion_avoidance,
77,335964.558421,300,55,192.168.88.253,41618,504,,congestion_avoidance,
78,335964.560080,400,58,192.168.88.253,41618,584,,congestion_avoidance,
79,335964.561349,500,59,192.168.88.253,41618,576,,congestion_avoidance,
80,335964.563562,600,62,192.168.88.253,41618,546,,congestion_avoidance,
81,335964.569203,700,69,192.168.88.253,41618,800,,congestion_avoidance,
82,335964.570137,716,70,192.168.88.253,41618,564,,loss_recovery,
83,335964.570636,726,35,192.168.88.253,41618,361,,congestion_avoidance,
84,335964.574814,800,43,192.168.88.253,41618,471,,congestion_avoidance,
85,335964.580120,900,52,192.168.88.253,41618,545,,congestion_avoidance,
86,335964.585395,1000,60,192.168.88.253,41618,694,,congestion_avoidance,
87,335964.591201,1100,68,192.168.88.253,41618,549,,congestion_avoidance,
88,335964.596256,1200,73,192.168.88.253,41618,819,,congestion_avoidance,
89,335964.596959,1214,74,192.168.88.253,41618,662,,loss_recovery,
90,335964.597613,1226,37,192.168.88.253,41618,353,,congestion_avoidance,
91,335964.601455,1300,44,192.168.88.253,41618,526,,congestion_avoidance,
92,335964.606509,1400,53,192.168.88.253,41618,607,,congestion_avoidance,
93,335964.611828,1500,60,192.168.88.253,41618,740,,congestion_avoidance,
94,335964.617294,1600,67,192.168.88.253,41618,718,,congestion_avoidance,
95,335964.622368,1700,73,192.168.88.253,41618,674,,congestion_avoidance,
96,335964.624029,1721,75,192.168.88.253,41618,834,,loss_recovery,
97,335964.624239,1723,37,192.168.88.253,41618,176,,congestion_avoidance,
98,335964.628032,1800,44,192.168.88.253,41618,482,,congestion_avoidance,
99,335964.633101,1900,53,192.168.88.253,41618,592,,congestion_avoidance,
100,335964.638082,2000,60,192.168.88.253,41618,558,,congestion_avoidance,
101,335964.643138,2100,66,192.168.88.253,41618,687,,congestion_avoidance,
102,335964.648199,2200,72,192.168.88.253,41618,746,,congestion_avoidance,
103,335964.649011,2218,73,192.168.88.253,41618,734,,loss_recovery,
104,335964.649671,2233,36,192.168.88.253,41618,373,,congestion_avoidance,
105,335964.652858,2300,42,192.168.88.253,41618,367,,congestion_avoidance,
106,335964.657252,2400,50,192.168.88.253,41618,440,,congestion_avoidance,
107,335964.661915,2500,57,192.168.88.253,41618,633,,congestion_avoidance,
108,335964.666908,2600,64,192.168.88.253,41618,642,,congestion_avoidance,
109,335964.671450,2700,69,192.168.88.253,41618,667,,congestion_avoidance,
110,335964.671814,2708,70,192.168.88.253,41618,773,,loss_recovery,
111,335964.672435,2722,35,192.168.88.253,41618,320,,congestion_avoidance,
112,335964.676333,2800,43,192.168.88.253,41618,452,,congestion_avoidance,
113,335964.681119,2900,51,192.168.88.253,41618,391,,congestion_avoidance,
114,335964.685624,3000,58,192.168.88.253,41618,528,,congestion_avoidance,
115,335964.690264,3100,64,192.168.88.253,41618,693,,congestion_avoidance,
116,335964.695056,3200,70,192.168.88.253,41618,760,,congestion_avoidance,
117,335964.696180,3223,71,192.168.88.253,41618,531,,loss_recovery,
118,335964.696749,3238,35,192.168.88.253,41618,369,,congestion_avoidance,
119,335964.699657,3300,41,192.168.88.253,41618,453,,congestion_avoidance,
120,335964.704599,3400,50,192.168.88.253,41618,547,,congestion_avoidance,
121,335964.709716,3500,57,192.168.88.253,41618,442,,congestion_avoidance,
122,335964.714538,3600,64,192.168.88.253,41618,602,,congestion_avoidance,
123,335964.719204,3700,70,192.168.88.253,41618,823,,congestion_avoidance,
124,335964.722131,3759,73,192.168.88.253,41618,551,,loss_recovery,
125,335964.722651,3771,36,192.168.88.253,41618,330,,congestion_avoidance,
126,335964.724117,3800,39,192.168.88.253,41618,337,,congestion_avoidance,
127,335964.729107,3900,48,192.168.88.253,41618,558,,congestion_avoidance,
128,335964.734680,4000,56,192.168.88.253,41618,540,,congestion_avoidance,
129,335964.739834,4100,63,192.168.88.253,41618,650,,congestion_avoidance,
130,335964.744813,4200,69,192.168.88.253,41618,597,,congestion_avoidance,
131,335964.749908,4300,75,192.168.88.253,41618,751,,congestion_avoidance,
132,335964.754901,4400,80,192.168.88.253,41618,735,,congestion_avoidance,
133,335964.759906,4500,85,192.168.88.253,41618,830,,congestion_avoidance,
134,335964.761036,4522,86,192.168.88.253,41618,867,,loss_recovery,
135,335964.761769,4536,43,192.168.88.253,41618,438,,congestion_avoidance,
136,335964.765024,4600,49,192.168.88.253,41618,502,,congestion_avoidance,
137,335964.770281,4700,57,192.168.88.253,41618,602,,congestion_avoidance,
138,335964.775580,4800,64,192.168.88.253,41618,635,,congestion_avoidance,
139,335964.780564,4900,70,192.168.88.253,41618,703,,congestion_avoidance,
140,335964.785680,5000,75,192.168.88.253,41618,849,,congestion_avoidance,
141,335964.790606,5100,81,192.168.88.253,41618,717,,congestion_avoidance,
142,335964.791241,5112,81,192.168.88.253,41618,872,,loss_recovery,
143,335964.791943,5126,40,192.168.88.253,41618,426,,congestion_avoidance,
144,335964.795591,5200,47,192.168.88.253,41618,399,,congestion_avoidance,
145,335964.800667,5300,55,192.168.88.253,41618,523,,congestion_avoidance,
146,335964.805716,5400,62,192.168.88.253,41618,579,,congestion_avoidance,
147,335964.810643,5500,68,192.168.88.253,41618,518,,congestion_avoidance,
148,335964.815678,5600,74,192.168.88.253,41618,836,,congestion_avoidance,
149,335964.820742,5700,79,192.168.88.253,41618,944,,congestion_avoidance,
150,335964.825748,5800,84,192.168.88.253,41618,877,,congestion_avoidance,
151,335964.826723,5822,85,192.168.88.253,41618,838,,loss_recovery,
152,335964.827429,5836,42,192.168.88.253,41618,438,,congestion_avoidance,
153,335964.830797,5900,48,192.168.88.253,41618,622,,congestion_avoidance,
154,335964.835593,6000,55,192.168.88.253,41618,483,,congestion_avoidance,
155,335964.840701,6100,62,192.168.88.253,41618,659,,congestion_avoidance,
156,335964.845650,6200,69,192.168.88.253,41618,576,,congestion_avoidance,
157,335964.851090,6300,75,192.168.88.253,41618,842,,congestion_avoidance,
158,335964.856379,6400,80,192.168.88.253,41618,841,,congestion_avoidance,
159,335964.861788,6500,85,192.168.88.253,41618,968,,congestion_avoidance,
160,335964.866497,6587,90,192.168.88.253,41618,868,,loss_recovery,
161,335964.867150,6600,45,192.168.88.253,41618,999,,loss_recovery,
162,335964.867191,6602,45,192.168.88.253,41618,371,,congestion_avoidance,
163,335964.872513,6700,53,192.168.88.253,41618,512,,congestion_avoidance,
164,335964.877552,6800,60,192.168.88.253,41618,591,,congestion_avoidance,
165,335964.882300,6900,67,192.168.88.253,41618,575,,congestion_avoidance,
166,335964.887801,7000,73,192.168.88.253,41618,898,,congestion_avoidance,
167,335964.892589,7100,78,192.168.88.253,41618,668,,congestion_avoidance,
168,335964.897522,7200,83,192.168.88.253,41618,884,,congestion_avoidance,
169,335964.898831,7223,84,192.168.88.253,41618,848,,loss_recovery,
170,335964.899523,7236,42,192.168.88.253,41618,374,,congestion_avoidance,
171,335964.902783,7300,47,192.168.88.253,41618,413,,congestion_avoidance,
172,335964.907765,7400,55,192.168.88.253,41618,560,,congestion_avoidance,
173,335964.912485,7500,62,192.168.88.253,41618,537,,congestion_avoidance,
174,335964.941268,8100,60,192.168.88.253,41618,482,,congestion_avoidance,
175,335964.946740,8200,67,192.168.88.253,41618,651,,congestion_avoidance,
176,335964.952061,8300,73,192.168.88.253,41618,862,,congestion_avoidance,
177,335964.957280,8400,79,192.168.88.253,41618,777,,congestion_avoidance,
178,335964.959250,8441,81,192.168.88.253,41618,634,,loss_recovery,
179,335964.959825,8453,40,192.168.88.253,41618,401,,congestion_avoidance,
180,335964.961794,8500,43,192.168.88.253,41618,477,,congestion_avoidance,
181,335964.967289,8600,52,192.168.88.253,41618,622,,congestion_avoidance,
182,335964.972714,8700,60,192.168.88.253,41618,583,,congestion_avoidance,
183,335964.978331,8800,67,192.168.88.253,41618,663,,congestion_avoidance,
184,335964.983182,8897,73,192.168.88.253,41618,759,,loss_recovery,
185,335964.983374,8900,43,192.168.88.253,41618,712,,loss_recovery,
186,335964.983795,8909,36,192.168.88.253,41618,327,,congestion_avoidance,
187,335964.989057,9000,46,192.168.88.253,41618,484,,congestion_avoidance,
188,335964.994798,9100,55,192.168.88.253,41618,311,,congestion_avoidance,
189,335965.000220,9200,63,192.168.88.253,41618,668,,congestion_avoidance,
190,335965.005769,9300,69,192.168.88.253,41618,805,,congestion_avoidance,
191,335965.011242,9400,76,192.168.88.253,41618,543,,congestion_avoidance,
192,335965.011837,9413,76,192.168.88.253,41618,732,,loss_recovery,
193,335965.012491,9426,38,192.168.88.253,41618,346,,congestion_avoidance,
194,335965.016481,9500,45,192.168.88.253,41618,456,,congestion_avoidance,
195,335965.022081,9600,54,192.168.88.253,41618,427,,congestion_avoidance,
196,335965.027532,9700,62,192.168.88.253,41618,676,,congestion_avoidance,
197,335965.033056,9800,69,192.168.88.253,41618,639,,congestion_avoidance,
198,335965.037958,9895,74,192.168.88.253,41618,594,,loss_recovery,
199,335965.038142,9900,37,192.168.88.253,41618,780,,loss_recovery,
200,335965.038539,9908,37,192.168.88.253,41618,392,,congestion_avoidance,
201,335965.043437,10000,46,192.168.88.253,41618,510,,congestion_avoidance,
202,335965.048151,10100,54,192.168.88.253,41618,622,,congestion_avoidance,
203,335965.053656,10200,61,192.168.88.253,41618,595,,congestion_avoidance,
204,335965.058831,10300,68,192.168.88.253,41618,818,,congestion_avoidance,
205,335965.059454,10315,69,192.168.88.253,41618,600,,loss_recovery,
206,335965.059978,10325,34,192.168.88.253,41618,333,,congestion_avoidance,
207,335965.064039,10400,42,192.168.88.253,41618,520,,congestion_avoidance,
208,335965.069692,10500,52,192.168.88.253,41618,524,,congestion_avoidance,
209,335965.074185,10600,58,192.168.88.253,41618,597,,congestion_avoidance,
210,335965.078914,10700,65,192.168.88.253,41618,592,,congestion_avoidance,
211,335965.083572,10800,70,192.168.88.253,41618,873,,congestion_avoidance,
212,335965.086667,10859,74,192.168.88.253,41618,773,,loss_recovery,
213,335965.087423,10873,37,192.168.88.253,41618,381,,congestion_avoidance,
214,335965.088898,10900,40,192.168.88.253,41618,408,,congestion_avoidance,
215,335965.093846,11000,49,192.168.88.253,41618,528,,congestion_avoidance,
216,335965.098670,11100,56,192.168.88.253,41618,440,,congestion_avoidance,
217,335965.103479,11200,63,192.168.88.253,41618,591,,congestion_avoidance,
218,335965.108378,11300,69,192.168.88.253,41618,781,,congestion_avoidance,
219,335965.113226,11400,74,192.168.88.253,41618,887,,congestion_avoidance,
220,335965.114173,11419,75,192.168.88.253,41618,769,,loss_recovery,
221,335965.114930,11434,37,192.168.88.253,41618,342,,congestion_avoidance,
222,335965.118223,11500,43,192.168.88.253,41618,315,,congestion_avoidance,
223,335965.123478,11600,52,192.168.88.253,41618,549,,congestion_avoidance,
224,335965.127962,11700,59,192.168.88.253,41618,600,,congestion_avoidance,
225,335965.132220,11800,64,192.168.88.253,41618,738,,congestion_avoidance,
226,335965.136541,11900,70,192.168.88.253,41618,609,,congestion_avoidance,
227,335965.139460,11959,73,192.168.88.253,41618,667,,loss_recovery,
228,335965.139938,11970,36,192.168.88.253,41618,285,,congestion_avoidance,
229,335965.141410,12000,39,192.168.88.253,41618,433,,congestion_avoidance,
230,335965.145806,12100,47,192.168.88.253,41618,458,,congestion_avoidance,
231,335965.150340,12200,54,192.168.88.253,41618,608,,congestion_avoidance,
232,335965.154888,12300,61,192.168.88.253,41618,645,,congestion_avoidance,
233,335965.159662,12400,67,192.168.88.253,41618,738,,congestion_avoidance,
234,335965.163649,12483,72,192.168.88.253,41618,747,,loss_recovery,
235,335965.164264,12496,36,192.168.88.253,41618,315,,congestion_avoidance,
236,335965.164455,12500,36,192.168.88.253,41618,305,,congestion_avoidance,
237,335965.169336,12600,46,192.168.88.253,41618,525,,congestion_avoidance,
238,335965.174420,12700,54,192.168.88.253,41618,562,,congestion_avoidance,
239,335965.179738,12800,62,192.168.88.253,41618,649,,congestion_avoidance,
240,335965.185223,12900,68,192.168.88.253,41618,614,,congestion_avoidance,
241,335965.190132,13000,74,192.168.88.253,41618,762,,congestion_avoidance,
242,335965.190618,13011,75,192.168.88.253,41618,747,,loss_recovery,
243,335965.191305,13025,37,192.168.88.253,41618,344,,congestion_avoidance,
244,335965.194960,13100,44,192.168.88.253,41618,325,,congestion_avoidance,
245,335965.199952,13200,52,192.168.88.253,41618,562,,congestion_avoidance,
