[691869.854095] TCP: my_cca: seq=1 cwnd=10 rtt=343 bytes_acked=1448 bytes_sent=30408 phase=loss_recovery Destination: 192.168.88.253:40416
[691869.854317] TCP: my_cca: seq=2 cwnd=5 rtt=207 bytes_acked=4344 bytes_sent=36200 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.857990] TCP: my_cca: seq=100 cwnd=8 rtt=129 bytes_acked=270776 bytes_sent=306976 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.862215] TCP: my_cca: seq=200 cwnd=8 rtt=159 bytes_acked=586440 bytes_sent=621192 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.866309] TCP: my_cca: seq=300 cwnd=8 rtt=110 bytes_acked=887624 bytes_sent=925272 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.870568] TCP: my_cca: seq=400 cwnd=8 rtt=126 bytes_acked=1203288 bytes_sent=1240936 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.874704] TCP: my_cca: seq=500 cwnd=8 rtt=119 bytes_acked=1511712 bytes_sent=1547912 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.878967] TCP: my_cca: seq=600 cwnd=8 rtt=178 bytes_acked=1820136 bytes_sent=1854888 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.883254] TCP: my_cca: seq=700 cwnd=8 rtt=154 bytes_acked=2125664 bytes_sent=2163312 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.887374] TCP: my_cca: seq=800 cwnd=8 rtt=124 bytes_acked=2426848 bytes_sent=2463048 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.891648] TCP: my_cca: seq=900 cwnd=8 rtt=171 bytes_acked=2736720 bytes_sent=2775816 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.896590] TCP: my_cca: seq=1000 cwnd=8 rtt=149 bytes_acked=3069760 bytes_sent=3107408 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.902494] TCP: my_cca: seq=1100 cwnd=8 rtt=165 bytes_acked=3424520 bytes_sent=3463616 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.907729] TCP: my_cca: seq=1200 cwnd=8 rtt=144 bytes_acked=3772040 bytes_sent=3808240 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.912133] TCP: my_cca: seq=1300 cwnd=8 rtt=130 bytes_acked=4079016 bytes_sent=4116664 phase=congestion_avoidance Destination: 192.168.88.253:40416
[691869.916640] TCP: my_cca: seq=1400 cwnd=8 rtt=137 bytes_acked=4399024 bytes_sent=4430880 phase=congestion_avoidance Destination: 192.168.88.253:40416
