[567778.288883] TCP: my_cca: seq=1 cwnd=10 rtt=227 phase=loss_recovery Destination: 192.168.88.253:47382
[567778.289024] TCP: my_cca: seq=2 cwnd=5 rtt=125 phase=congestion_avoidance Destination: 192.168.88.253:47382
[567778.289034] TCP: my_cca: seq=3 cwnd=3 rtt=135 phase=slow_start Destination: 192.168.88.253:47382
[567778.293128] TCP: my_cca: seq=100 cwnd=3 rtt=100 phase=slow_start Destination: 192.168.88.253:47382
[567778.303617] TCP: my_cca: seq=200 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.314573] TCP: my_cca: seq=300 cwnd=3 rtt=111 phase=slow_start Destination: 192.168.88.253:47382
[567778.325617] TCP: my_cca: seq=400 cwnd=3 rtt=101 phase=slow_start Destination: 192.168.88.253:47382
[567778.336480] TCP: my_cca: seq=500 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.347990] TCP: my_cca: seq=600 cwnd=3 rtt=108 phase=slow_start Destination: 192.168.88.253:47382
[567778.359235] TCP: my_cca: seq=700 cwnd=3 rtt=108 phase=slow_start Destination: 192.168.88.253:47382
[567778.370504] TCP: my_cca: seq=800 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.381692] TCP: my_cca: seq=900 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.392967] TCP: my_cca: seq=1000 cwnd=3 rtt=107 phase=slow_start Destination: 192.168.88.253:47382
[567778.404242] TCP: my_cca: seq=1100 cwnd=3 rtt=157 phase=slow_start Destination: 192.168.88.253:47382
[567778.416742] TCP: my_cca: seq=1200 cwnd=3 rtt=191 phase=slow_start Destination: 192.168.88.253:47382
[567778.428169] TCP: my_cca: seq=1300 cwnd=3 rtt=110 phase=slow_start Destination: 192.168.88.253:47382
[567778.439702] TCP: my_cca: seq=1400 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567778.451247] TCP: my_cca: seq=1500 cwnd=3 rtt=108 phase=slow_start Destination: 192.168.88.253:47382
[567778.462667] TCP: my_cca: seq=1600 cwnd=3 rtt=108 phase=slow_start Destination: 192.168.88.253:47382
[567778.474056] TCP: my_cca: seq=1700 cwnd=3 rtt=110 phase=slow_start Destination: 192.168.88.253:47382
[567778.485159] TCP: my_cca: seq=1800 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.495906] TCP: my_cca: seq=1900 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567778.506662] TCP: my_cca: seq=2000 cwnd=3 rtt=101 phase=slow_start Destination: 192.168.88.253:47382
[567778.517437] TCP: my_cca: seq=2100 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.528027] TCP: my_cca: seq=2200 cwnd=3 rtt=107 phase=slow_start Destination: 192.168.88.253:47382
[567778.538563] TCP: my_cca: seq=2300 cwnd=3 rtt=101 phase=slow_start Destination: 192.168.88.253:47382
[567778.549097] TCP: my_cca: seq=2400 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.559642] TCP: my_cca: seq=2500 cwnd=3 rtt=101 phase=slow_start Destination: 192.168.88.253:47382
[567778.570302] TCP: my_cca: seq=2600 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.580939] TCP: my_cca: seq=2700 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.591767] TCP: my_cca: seq=2800 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.602438] TCP: my_cca: seq=2900 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.613326] TCP: my_cca: seq=3000 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.624188] TCP: my_cca: seq=3100 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.635229] TCP: my_cca: seq=3200 cwnd=3 rtt=107 phase=slow_start Destination: 192.168.88.253:47382
[567778.646080] TCP: my_cca: seq=3300 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567778.656944] TCP: my_cca: seq=3400 cwnd=3 rtt=108 phase=slow_start Destination: 192.168.88.253:47382
[567778.667848] TCP: my_cca: seq=3500 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.678694] TCP: my_cca: seq=3600 cwnd=3 rtt=109 phase=slow_start Destination: 192.168.88.253:47382
[567778.689528] TCP: my_cca: seq=3700 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.700333] TCP: my_cca: seq=3800 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.722045] TCP: my_cca: seq=4000 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.732903] TCP: my_cca: seq=4100 cwnd=3 rtt=107 phase=slow_start Destination: 192.168.88.253:47382
[567778.743782] TCP: my_cca: seq=4200 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.754651] TCP: my_cca: seq=4300 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.765980] TCP: my_cca: seq=4400 cwnd=3 rtt=141 phase=slow_start Destination: 192.168.88.253:47382
[567778.777124] TCP: my_cca: seq=4500 cwnd=3 rtt=108 phase=slow_start Destination: 192.168.88.253:47382
[567778.788372] TCP: my_cca: seq=4600 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.799341] TCP: my_cca: seq=4700 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.810285] TCP: my_cca: seq=4800 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.821046] TCP: my_cca: seq=4900 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.831772] TCP: my_cca: seq=5000 cwnd=3 rtt=107 phase=slow_start Destination: 192.168.88.253:47382
[567778.842660] TCP: my_cca: seq=5100 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567778.853588] TCP: my_cca: seq=5200 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567778.864399] TCP: my_cca: seq=5300 cwnd=3 rtt=107 phase=slow_start Destination: 192.168.88.253:47382
[567778.875311] TCP: my_cca: seq=5400 cwnd=3 rtt=107 phase=slow_start Destination: 192.168.88.253:47382
[567778.886581] TCP: my_cca: seq=5500 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.897814] TCP: my_cca: seq=5600 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.908800] TCP: my_cca: seq=5700 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567778.919753] TCP: my_cca: seq=5800 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567778.930902] TCP: my_cca: seq=5900 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.942035] TCP: my_cca: seq=6000 cwnd=3 rtt=113 phase=slow_start Destination: 192.168.88.253:47382
[567778.953157] TCP: my_cca: seq=6100 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567778.964174] TCP: my_cca: seq=6200 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567778.975410] TCP: my_cca: seq=6300 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567778.986465] TCP: my_cca: seq=6400 cwnd=3 rtt=102 phase=slow_start Destination: 192.168.88.253:47382
[567778.998498] TCP: my_cca: seq=6500 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567779.009702] TCP: my_cca: seq=6600 cwnd=3 rtt=108 phase=slow_start Destination: 192.168.88.253:47382
[567779.020674] TCP: my_cca: seq=6700 cwnd=3 rtt=102 phase=slow_start Destination: 192.168.88.253:47382
[567779.031463] TCP: my_cca: seq=6800 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567779.042672] TCP: my_cca: seq=6900 cwnd=3 rtt=102 phase=slow_start Destination: 192.168.88.253:47382
[567779.053847] TCP: my_cca: seq=7000 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567779.065375] TCP: my_cca: seq=7100 cwnd=3 rtt=102 phase=slow_start Destination: 192.168.88.253:47382
[567779.076459] TCP: my_cca: seq=7200 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567779.087866] TCP: my_cca: seq=7300 cwnd=3 rtt=110 phase=slow_start Destination: 192.168.88.253:47382
[567779.099448] TCP: my_cca: seq=7400 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567779.111155] TCP: my_cca: seq=7500 cwnd=3 rtt=109 phase=slow_start Destination: 192.168.88.253:47382
[567779.122669] TCP: my_cca: seq=7600 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567779.134422] TCP: my_cca: seq=7700 cwnd=3 rtt=102 phase=slow_start Destination: 192.168.88.253:47382
[567779.145550] TCP: my_cca: seq=7800 cwnd=3 rtt=102 phase=slow_start Destination: 192.168.88.253:47382
[567779.156546] TCP: my_cca: seq=7900 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567779.167004] TCP: my_cca: seq=8000 cwnd=3 rtt=104 phase=slow_start Destination: 192.168.88.253:47382
[567779.177455] TCP: my_cca: seq=8100 cwnd=3 rtt=103 phase=slow_start Destination: 192.168.88.253:47382
[567779.187858] TCP: my_cca: seq=8200 cwnd=3 rtt=102 phase=slow_start Destination: 192.168.88.253:47382
[567779.198665] TCP: my_cca: seq=8300 cwnd=3 rtt=108 phase=slow_start Destination: 192.168.88.253:47382
[567779.210435] TCP: my_cca: seq=8400 cwnd=3 rtt=109 phase=slow_start Destination: 192.168.88.253:47382
[567779.222044] TCP: my_cca: seq=8500 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567779.233924] TCP: my_cca: seq=8600 cwnd=3 rtt=106 phase=slow_start Destination: 192.168.88.253:47382
[567779.249413] TCP: my_cca: seq=8700 cwnd=3 rtt=105 phase=slow_start Destination: 192.168.88.253:47382
[567779.266624] TCP: my_cca: seq=8800 cwnd=3 rtt=102 phase=slow_start Destination: 192.168.88.253:47382
