[126396.344044] TCP: my_cca: seq=1 cwnd=10 rtt=436 phase=slow_start Destination: 192.168.88.253:49228
[126396.346255] TCP: my_cca: seq=68 cwnd=37 rtt=485 phase=loss_recovery Destination: 192.168.88.253:49228
[126396.346651] TCP: my_cca: seq=82 cwnd=18 rtt=190 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.347427] TCP: my_cca: seq=100 cwnd=20 rtt=243 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.351060] TCP: my_cca: seq=200 cwnd=29 rtt=501 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.354176] TCP: my_cca: seq=300 cwnd=35 rtt=544 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.358236] TCP: my_cca: seq=400 cwnd=37 rtt=399 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.362072] TCP: my_cca: seq=500 cwnd=37 rtt=440 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.365277] TCP: my_cca: seq=600 cwnd=37 rtt=565 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.368638] TCP: my_cca: seq=700 cwnd=37 rtt=451 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.371988] TCP: my_cca: seq=800 cwnd=37 rtt=585 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.375266] TCP: my_cca: seq=900 cwnd=37 rtt=603 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.378761] TCP: my_cca: seq=1000 cwnd=37 rtt=430 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.382120] TCP: my_cca: seq=1100 cwnd=37 rtt=539 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.385526] TCP: my_cca: seq=1200 cwnd=37 rtt=448 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.388894] TCP: my_cca: seq=1300 cwnd=37 rtt=569 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.392268] TCP: my_cca: seq=1400 cwnd=37 rtt=474 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.395540] TCP: my_cca: seq=1500 cwnd=37 rtt=500 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.398787] TCP: my_cca: seq=1600 cwnd=37 rtt=506 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.402196] TCP: my_cca: seq=1700 cwnd=37 rtt=414 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.405535] TCP: my_cca: seq=1800 cwnd=37 rtt=513 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.408843] TCP: my_cca: seq=1900 cwnd=37 rtt=525 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.412131] TCP: my_cca: seq=2000 cwnd=37 rtt=440 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.415738] TCP: my_cca: seq=2093 cwnd=37 rtt=414 phase=loss_recovery Destination: 192.168.88.253:49228
[126396.416157] TCP: my_cca: seq=2099 cwnd=18 rtt=148 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.416218] TCP: my_cca: seq=2100 cwnd=18 rtt=209 phase=congestion_avoidance Destination: 192.168.88.253:49228
[126396.421739] TCP: my_cca: seq=2200 cwnd=31 rtt=348 phase=congestion_avoidance Destination: 192.168.88.253:49228
