line_number,timestamp,seq,cwnd,ip,port,rtt,ssthresh,phase,ca_state
138,331099.936743,1,10,192.168.88.253,49888,128,,slow_start,
139,331099.937624,29,80,192.168.88.253,49888,482,,loss_recovery,
140,331099.938209,62,40,192.168.88.253,49888,266,,congestion_avoidance,
141,331099.938705,100,41,192.168.88.253,49888,458,,congestion_avoidance,
142,331099.940194,200,43,192.168.88.253,49888,325,,congestion_avoidance,
143,331099.941465,300,46,192.168.88.253,49888,536,,congestion_avoidance,
144,331099.944352,400,51,192.168.88.253,49888,423,,congestion_avoidance,
145,331099.945769,443,53,192.168.88.253,49888,523,,loss_recovery,
146,331099.946386,454,26,192.168.88.253,49888,332,,congestion_avoidance,
147,331099.947823,500,31,192.168.88.253,49888,363,,congestion_avoidance,
148,331099.951338,600,39,192.168.88.253,49888,355,,congestion_avoidance,
149,331099.954935,700,46,192.168.88.253,49888,471,,congestion_avoidance,
150,331099.958072,800,51,192.168.88.253,49888,512,,congestion_avoidance,
151,331099.961562,900,56,192.168.88.253,49888,664,,congestion_avoidance,
152,331099.963790,963,59,192.168.88.253,49888,533,,loss_recovery,
153,331099.964306,981,29,192.168.88.253,49888,306,,congestion_avoidance,
154,331099.964918,1000,30,192.168.88.253,49888,291,,congestion_avoidance,
155,331099.968408,1100,38,192.168.88.253,49888,395,,congestion_avoidance,
156,331099.972066,1200,46,192.168.88.253,49888,294,,congestion_avoidance,
157,331099.975742,1300,52,192.168.88.253,49888,425,,congestion_avoidance,
158,331099.978665,1368,56,192.168.88.253,49888,320,,loss_recovery,
159,331099.979181,1381,28,192.168.88.253,49888,250,,congestion_avoidance,
160,331099.979843,1400,30,192.168.88.253,49888,252,,congestion_avoidance,
161,331099.983285,1500,38,192.168.88.253,49888,385,,congestion_avoidance,
162,331099.986377,1600,44,192.168.88.253,49888,428,,congestion_avoidance,
163,331099.990020,1700,49,192.168.88.253,49888,550,,congestion_avoidance,
164,331099.993153,1800,54,192.168.88.253,49888,616,,congestion_avoidance,
165,331099.996437,1900,59,192.168.88.253,49888,532,,congestion_avoidance,
166,331099.999058,1974,63,192.168.88.253,49888,526,,loss_recovery,
167,331099.999556,1991,31,192.168.88.253,49888,275,,congestion_avoidance,
168,331100.000126,2000,32,192.168.88.253,49888,251,,congestion_avoidance,
169,331100.003734,2100,40,192.168.88.253,49888,459,,congestion_avoidance,
170,331100.007244,2200,47,192.168.88.253,49888,444,,congestion_avoidance,
171,331100.010742,2300,52,192.168.88.253,49888,529,,congestion_avoidance,
172,331100.013991,2400,57,192.168.88.253,49888,610,,congestion_avoidance,
173,331100.014136,2405,57,192.168.88.253,49888,547,,loss_recovery,
174,331100.014825,2423,28,192.168.88.253,49888,350,,congestion_avoidance,
175,331100.017503,2500,35,192.168.88.253,49888,290,,congestion_avoidance,
176,331100.020869,2600,42,192.168.88.253,49888,362,,congestion_avoidance,
177,331100.024267,2700,48,192.168.88.253,49888,555,,congestion_avoidance,
178,331100.027843,2800,54,192.168.88.253,49888,553,,congestion_avoidance,
179,331100.030686,2887,58,192.168.88.253,49888,539,,loss_recovery,
180,331100.031029,2900,29,192.168.88.253,49888,617,,loss_recovery,
181,331100.031221,2905,29,192.168.88.253,49888,319,,congestion_avoidance,
182,331100.034831,3000,38,192.168.88.253,49888,254,,congestion_avoidance,
183,331100.038154,3100,44,192.168.88.253,49888,516,,congestion_avoidance,
184,331100.041603,3200,50,192.168.88.253,49888,514,,congestion_avoidance,
185,331100.045011,3300,55,192.168.88.253,49888,569,,congestion_avoidance,
186,331100.047614,3379,59,192.168.88.253,49888,453,,loss_recovery,
187,331100.048141,3399,29,192.168.88.253,49888,316,,congestion_avoidance,
188,331100.048221,3400,29,192.168.88.253,49888,395,,congestion_avoidance,
189,331100.051702,3500,37,192.168.88.253,49888,456,,congestion_avoidance,
190,331100.055307,3600,44,192.168.88.253,49888,373,,congestion_avoidance,
191,331100.058782,3700,50,192.168.88.253,49888,476,,congestion_avoidance,
192,331100.062139,3800,56,192.168.88.253,49888,631,,congestion_avoidance,
193,331100.065150,3886,60,192.168.88.253,49888,460,,loss_recovery,
194,331100.065648,3900,30,192.168.88.253,49888,302,,congestion_avoidance,
195,331100.069751,4000,39,192.168.88.253,49888,286,,congestion_avoidance,
196,331100.073363,4100,46,192.168.88.253,49888,300,,congestion_avoidance,
197,331100.076802,4200,52,192.168.88.253,49888,545,,congestion_avoidance,
198,331100.078413,4243,54,192.168.88.253,49888,678,,loss_recovery,
199,331100.078853,4258,27,192.168.88.253,49888,258,,congestion_avoidance,
200,331100.080285,4300,30,192.168.88.253,49888,275,,congestion_avoidance,
201,331100.083975,4400,39,192.168.88.253,49888,203,,congestion_avoidance,
202,331100.087322,4500,46,192.168.88.253,49888,520,,congestion_avoidance,
203,331100.091036,4600,52,192.168.88.253,49888,489,,congestion_avoidance,
204,331100.094438,4700,57,192.168.88.253,49888,638,,congestion_avoidance,
205,331100.097861,4800,62,192.168.88.253,49888,620,,congestion_avoidance,
206,331100.098827,4823,63,192.168.88.253,49888,539,,loss_recovery,
207,331100.099376,4839,31,192.168.88.253,49888,314,,congestion_avoidance,
208,331100.101546,4900,36,192.168.88.253,49888,407,,congestion_avoidance,
209,331100.105024,5000,43,192.168.88.253,49888,393,,congestion_avoidance,
